window_size,lam,networksize,learnrate,seed,sharpe,cumret,meanret,stdret
80,2.7752499999999998,64.0,0.001,4.5,1.697525,1.1351,0.0009000000000000001,0.010525
100,2.7752499999999998,64.0,0.001,4.5,1.265225,1.120325,0.0008500000000000001,0.012325000000000001
150,2.7752499999999998,64.0,0.001,4.5,1.1396,1.113475,0.0008,0.011949999999999999
