seed,window_size,lam,networksize,learnrate,sharpe,cumret,meanret,stdret
8,150,0.1,64,0.001,1.22,1.125,0.001,0.013
8,150,1.0,64,0.001,1.144,1.142,0.001,0.015
8,150,10.0,64,0.001,1.425,1.144,0.001,0.012
9,100,0.001,64,0.001,1.15,1.142,0.001,0.015
9,100,0.1,64,0.001,1.147,1.142,0.001,0.015
9,100,1.0,64,0.001,2.805,1.165,0.001,0.007
9,80,0.001,64,0.001,3.291,1.24,0.002,0.009
9,100,10.0,64,0.001,1.143,1.142,0.001,0.015
9,80,0.1,64,0.001,2.647,1.168,0.001,0.008
9,80,1.0,64,0.001,2.564,1.147,0.001,0.007
9,80,10.0,64,0.001,1.144,1.142,0.001,0.015
9,150,0.001,64,0.001,1.149,1.063,0.0,0.007
9,150,0.1,64,0.001,1.522,1.154,0.001,0.012
9,150,1.0,64,0.001,1.145,1.142,0.001,0.015
9,150,10.0,64,0.001,1.411,1.143,0.001,0.012
