lam,window_size,seed,sharpe,cumret,meanret,stdret
0.0001,3.5,2.0,2.089233333333333,1.2187333333333334,0.0016,0.013433333333333334
0.0005,3.5,2.0,2.2141,1.2202,0.0016,0.012733333333333333
0.001,3.5,2.0,2.2457,1.1936666666666669,0.0015666666666666667,0.010366666666666668
0.005,3.5,2.0,2.0900333333333334,1.1330333333333333,0.0012666666666666668,0.0076
0.01,3.5,2.0,1.7268333333333334,1.0926333333333333,0.001,0.007000000000000002
0.05,3.5,2.0,1.7258666666666667,1.0924333333333334,0.001,0.007000000000000002
