phase,epoch,seed,window_size,lam,total_loss,policy_loss,value_loss,kf_loss,dyn_loss,sim_policy_loss,sim_value_loss,discounted_reward,val_sharpe,avg_weight_JPM,avg_weight_JNJ,avg_weight_MSFT,avg_weight_PG,avg_weight_XOM
train,0,0,1,10.0,0.049948822938627103,0.049948822938627103,0.0,0.0,0.0,0.0,0.0,-0.11505857451508443,,,,,,
train,1,0,1,10.0,0.03437925858751816,0.03437925858751816,0.0,0.0,0.0,0.0,0.0,-0.09779890537645448,,,,,,
train,2,0,1,10.0,0.042633521630812216,0.042633521630812216,0.0,0.0,0.0,0.0,0.0,-0.09549676484254864,,,,,,
train,3,0,1,10.0,0.04244003996855634,0.04244003996855634,0.0,0.0,0.0,0.0,0.0,-0.09862778827036713,,,,,,
train,4,0,1,10.0,0.05397697099297326,0.05397697099297326,0.0,0.0,0.0,0.0,0.0,-0.11851415491443784,,,,,,
train,5,0,1,10.0,0.09327160157993727,0.09327160157993727,0.0,0.0,0.0,0.0,0.0,-0.13252162207465837,1.6930828094482422,0.21466803550720215,0.17572063207626343,0.18867456912994385,0.1900707483291626,0.23086602985858917
train,6,0,1,10.0,0.0464897692504832,0.0464897692504832,0.0,0.0,0.0,0.0,0.0,-0.11167620295001303,,,,,,
train,7,0,1,10.0,0.04982988345242726,0.04982988345242726,0.0,0.0,0.0,0.0,0.0,-0.10859564242555815,,,,,,
train,8,0,1,10.0,0.06330012345650032,0.06330012345650032,0.0,0.0,0.0,0.0,0.0,-0.1339325720909983,,,,,,
train,9,0,1,10.0,0.04775704224320019,0.04775704224320019,0.0,0.0,0.0,0.0,0.0,-0.11392215956185087,,,,,,
train,10,0,1,10.0,0.11837439204328785,0.11837439204328785,0.0,0.0,0.0,0.0,0.0,-0.18444932604610337,1.6768715381622314,0.2204732447862625,0.1688302606344223,0.18780241906642914,0.19636766612529755,0.2265264391899109
train,11,0,1,10.0,0.04186878297204042,0.04186878297204042,0.0,0.0,0.0,0.0,0.0,-0.10206727903135412,,,,,,
train,12,0,1,10.0,0.04627777228369286,0.04627777228369286,0.0,0.0,0.0,0.0,0.0,-0.10727195626617793,,,,,,
train,13,0,1,10.0,0.1286676708088421,0.1286676708088421,0.0,0.0,0.0,0.0,0.0,-0.15654798770122522,,,,,,
train,14,0,1,10.0,0.03179495581243114,0.03179495581243114,0.0,0.0,0.0,0.0,0.0,-0.09397983173931054,,,,,,
train,15,0,1,10.0,0.04953933987360192,0.04953933987360192,0.0,0.0,0.0,0.0,0.0,-0.10232924690981414,1.7030601501464844,0.20390933752059937,0.17917300760746002,0.19051755964756012,0.19204328954219818,0.2343568056821823
train,16,0,1,10.0,0.06639668711132425,0.06639668711132425,0.0,0.0,0.0,0.0,0.0,-0.11270458693844358,,,,,,
train,17,0,1,10.0,0.06111152622821357,0.06111152622821357,0.0,0.0,0.0,0.0,0.0,-0.12353395821992308,,,,,,
train,18,0,1,10.0,0.13169075285687165,0.13169075285687165,0.0,0.0,0.0,0.0,0.0,-0.16351150621787883,,,,,,
train,19,0,1,10.0,0.05223906330545159,0.05223906330545159,0.0,0.0,0.0,0.0,0.0,-0.11783506689301017,,,,,,
train,20,0,1,10.0,0.06996115336797255,0.06996115336797255,0.0,0.0,0.0,0.0,0.0,-0.14941583939499276,1.7202950716018677,0.2141798585653305,0.18399319052696228,0.19971863925457,0.1827835738658905,0.2193247228860855
train,21,0,1,10.0,0.05239815583826937,0.05239815583826937,0.0,0.0,0.0,0.0,0.0,-0.12077140613623402,,,,,,
train,22,0,1,10.0,0.03952158316193769,0.03952158316193769,0.0,0.0,0.0,0.0,0.0,-0.10881206579734663,,,,,,
train,23,0,1,10.0,0.057934441707580914,0.057934441707580914,0.0,0.0,0.0,0.0,0.0,-0.13195243412993996,,,,,,
train,24,0,1,10.0,0.04844820440470643,0.04844820440470643,0.0,0.0,0.0,0.0,0.0,-0.10838194777184695,,,,,,
train,25,0,1,10.0,0.07680267603798568,0.07680267603798568,0.0,0.0,0.0,0.0,0.0,-0.14552259098683648,1.7198593616485596,0.21375839412212372,0.19037455320358276,0.18905220925807953,0.17128843069076538,0.23552638292312622
train,26,0,1,10.0,0.04624220674547056,0.04624220674547056,0.0,0.0,0.0,0.0,0.0,-0.09756255846507117,,,,,,
train,27,0,1,10.0,0.03872225641423617,0.03872225641423617,0.0,0.0,0.0,0.0,0.0,-0.10119946472638962,,,,,,
train,28,0,1,10.0,0.10963235388843197,0.10963235388843197,0.0,0.0,0.0,0.0,0.0,-0.1291862676906235,,,,,,
train,29,0,1,10.0,0.07210394569932867,0.07210394569932867,0.0,0.0,0.0,0.0,0.0,-0.1432625467651615,,,,,,
train,30,0,1,10.0,0.07784875892427996,0.07784875892427996,0.0,0.0,0.0,0.0,0.0,-0.13159183694469725,1.7119072675704956,0.2249784767627716,0.18986625969409943,0.18970145285129547,0.17395427823066711,0.22149954736232758
train,31,0,1,10.0,0.03183589095943699,0.03183589095943699,0.0,0.0,0.0,0.0,0.0,-0.09372603888486457,,,,,,
train,32,0,1,10.0,0.04845362238498352,0.04845362238498352,0.0,0.0,0.0,0.0,0.0,-0.11337961209024869,,,,,,
train,33,0,1,10.0,0.049575679926384314,0.049575679926384314,0.0,0.0,0.0,0.0,0.0,-0.10792007178579476,,,,,,
train,34,0,1,10.0,0.055277974275169055,0.055277974275169055,0.0,0.0,0.0,0.0,0.0,-0.11772850684036373,,,,,,
train,35,0,1,10.0,0.03636615852797952,0.03636615852797952,0.0,0.0,0.0,0.0,0.0,-0.09757663822258074,1.7047004699707031,0.2261136770248413,0.1899055540561676,0.1860053390264511,0.17558203637599945,0.22239336371421814
train,36,0,1,10.0,0.08399134300484815,0.08399134300484815,0.0,0.0,0.0,0.0,0.0,-0.12756417671848527,,,,,,
train,37,0,1,10.0,0.04089790035733113,0.04089790035733113,0.0,0.0,0.0,0.0,0.0,-0.09808346856495037,,,,,,
train,38,0,1,10.0,0.04524072667118162,0.04524072667118162,0.0,0.0,0.0,0.0,0.0,-0.10663470749140662,,,,,,
