combo_id,lr_actor,dyn_sim_M,dyn_sim_deterministic,dyn_sim_pl_weight,lam,actor_weight,kappa_unc,seed,best_val_sharpe,test_sharpe,test_total_return,test_mean_return,test_std_return
2,1e-05,5,True,0.1,1.0,1.0,0.0,0,-inf,1.7805664539337158,1.0965825319290161,0.0007429423276335001,0.006623637396842241
0,1e-05,5,True,0.1,1.0,0.0,0.0,2,-inf,1.7225185632705688,1.0917861461639404,0.0007060477510094643,0.006506835110485554
0,1e-05,5,True,0.1,1.0,0.0,0.0,1,-inf,1.7150322198867798,1.0919508934020996,0.0007073143497109413,0.006546961609274149
2,1e-05,5,True,0.1,1.0,1.0,0.0,1,-inf,1.7098183631896973,1.0916908979415894,0.0007053144508972764,0.006548358127474785
0,1e-05,5,True,0.1,1.0,0.0,0.0,0,-inf,1.7894947528839111,1.097153663635254,0.0007473360165022314,0.006629566196352243
1,1e-05,5,True,0.1,1.0,0.0,1.0,1,-inf,1.7038241624832153,1.0913798809051514,0.0007029217085801065,0.00654910271987319
1,1e-05,5,True,0.1,1.0,0.0,1.0,0,-inf,1.7883391380310059,1.0970728397369385,0.0007467145915143192,0.006628334056586027
1,1e-05,5,True,0.1,1.0,0.0,1.0,2,-inf,1.7287921905517578,1.092279076576233,0.000709839048795402,0.006518035661429167
2,1e-05,5,True,0.1,1.0,1.0,0.0,2,-inf,1.720231533050537,1.0918803215026855,0.0007067714468576014,0.00652216374874115
4,1e-05,5,True,0.1,10.0,0.0,0.0,0,-inf,1.7311514616012573,1.0926679372787476,0.0007128299330361187,0.006536578293889761
4,1e-05,5,True,0.1,10.0,0.0,0.0,1,-inf,1.7224839925765991,1.0921714305877686,0.0007090107537806034,0.0065342728048563
4,1e-05,5,True,0.1,10.0,0.0,0.0,2,-inf,1.7250910997390747,1.0922176837921143,0.0007093665190041065,0.0065276711247861385
3,1e-05,5,True,0.1,1.0,1.0,1.0,0,-inf,1.7813435792922974,1.0966402292251587,0.0007433866267092526,0.006624707020819187
3,1e-05,5,True,0.1,1.0,1.0,1.0,1,-inf,1.7049283981323242,1.0916777849197388,0.0007052135188132524,0.006566199939697981
3,1e-05,5,True,0.1,1.0,1.0,1.0,2,-inf,1.7226943969726562,1.0921459197998047,0.0007088143611326814,0.00653166463598609
5,1e-05,5,True,0.1,10.0,0.0,1.0,0,-inf,1.7308526039123535,1.092652678489685,0.000712712702807039,0.006536631844937801
5,1e-05,5,True,0.1,10.0,0.0,1.0,1,-inf,1.7239567041397095,1.092272400856018,0.0007097876514308155,0.006535844411700964
6,1e-05,5,True,0.1,10.0,1.0,0.0,0,-inf,1.7305779457092285,1.092636227607727,0.0007125863921828568,0.006536510773003101
6,1e-05,5,True,0.1,10.0,1.0,0.0,1,-inf,1.7232369184494019,1.0922276973724365,0.0007094437023624778,0.00653540575876832
6,1e-05,5,True,0.1,10.0,1.0,0.0,2,-inf,1.72523033618927,1.0922284126281738,0.0007094498141668737,0.006527910940349102
5,1e-05,5,True,0.1,10.0,0.0,1.0,2,-inf,1.7251404523849487,1.09220552444458,0.0007092732703313231,0.006526626646518707
7,1e-05,5,True,0.1,10.0,1.0,1.0,0,-inf,1.7302311658859253,1.0926169157028198,0.0007124380208551884,0.0065364595502614975
7,1e-05,5,True,0.1,10.0,1.0,1.0,1,-inf,1.7238337993621826,1.092266321182251,0.0007097411435097456,0.006535882130265236
