phase,epoch,seed,window_size,lam,total_loss,policy_loss,value_loss,kf_loss,dyn_loss,sim_policy_loss,sim_value_loss,discounted_reward,val_sharpe
warmup_kf,5,25,10,1.0,-0.9306217223405838,0.0,0.0,-16.56354088783264,-0.9306217223405838,0.0,0.0,320.994889831543,
warmup_kf,10,25,10,1.0,-2.826515293121338,0.0,0.0,-16.56354088783264,-2.826515293121338,0.0,0.0,320.994889831543,
warmup_kf,15,25,10,1.0,-6.2716858148574826,0.0,0.0,-16.56354088783264,-6.2716858148574826,0.0,0.0,320.994889831543,
warmup_kf,20,25,10,1.0,-11.091742897033692,0.0,0.0,-16.56354088783264,-11.091742897033692,0.0,0.0,320.994889831543,
warmup_kf,25,25,10,1.0,-14.185613059997559,0.0,0.0,-16.56354088783264,-14.185613059997559,0.0,0.0,320.994889831543,
warmup_kf,30,25,10,1.0,-15.73026909828186,0.0,0.0,-16.56354088783264,-15.73026909828186,0.0,0.0,320.994889831543,
warmup_kf,35,25,10,1.0,-16.687965965270998,0.0,0.0,-16.56354088783264,-16.687965965270998,0.0,0.0,320.994889831543,
warmup_kf,40,25,10,1.0,-17.34706344604492,0.0,0.0,-16.56354088783264,-17.34706344604492,0.0,0.0,320.994889831543,
warmup_kf,45,25,10,1.0,-17.822222805023195,0.0,0.0,-16.56354088783264,-17.822222805023195,0.0,0.0,320.994889831543,
warmup_kf,50,25,10,1.0,-18.174113178253172,0.0,0.0,-16.56354088783264,-18.174113178253172,0.0,0.0,320.994889831543,
warmup_kf,55,25,10,1.0,-18.440846633911132,0.0,0.0,-16.56354088783264,-18.440846633911132,0.0,0.0,320.994889831543,
warmup_kf,60,25,10,1.0,-18.647638511657714,0.0,0.0,-16.56354088783264,-18.647638511657714,0.0,0.0,320.994889831543,
warmup_kf,65,25,10,1.0,-18.80756206512451,0.0,0.0,-16.56354088783264,-18.80756206512451,0.0,0.0,320.994889831543,
warmup_kf,70,25,10,1.0,-18.9363582611084,0.0,0.0,-16.56354088783264,-18.9363582611084,0.0,0.0,320.994889831543,
warmup_kf,75,25,10,1.0,-19.039803218841552,0.0,0.0,-16.56354088783264,-19.039803218841552,0.0,0.0,320.994889831543,
warmup_kf,80,25,10,1.0,-19.123516178131105,0.0,0.0,-16.56354088783264,-19.123516178131105,0.0,0.0,320.994889831543,
warmup_kf,85,25,10,1.0,-19.19186601638794,0.0,0.0,-16.56354088783264,-19.19186601638794,0.0,0.0,320.994889831543,
warmup_kf,90,25,10,1.0,-19.247768878936768,0.0,0.0,-16.56354088783264,-19.247768878936768,0.0,0.0,320.994889831543,
warmup_kf,95,25,10,1.0,-19.29391622543335,0.0,0.0,-16.56354088783264,-19.29391622543335,0.0,0.0,320.994889831543,
warmup_dyn,5,25,10,1.0,-19.364154529571532,0.0,0.0,-16.56354088783264,-19.364154529571532,0.0,0.0,320.994889831543,
warmup_dyn,10,25,10,1.0,-19.39072980880737,0.0,0.0,-16.56354088783264,-19.39072980880737,0.0,0.0,320.994889831543,
warmup_dyn,15,25,10,1.0,-19.41313714981079,0.0,0.0,-16.56354088783264,-19.41313714981079,0.0,0.0,320.994889831543,
warmup_dyn,20,25,10,1.0,-19.432496547698975,0.0,0.0,-16.56354088783264,-19.432496547698975,0.0,0.0,320.994889831543,
warmup_dyn,25,25,10,1.0,-19.44861602783203,0.0,0.0,-16.56354088783264,-19.44861602783203,0.0,0.0,320.994889831543,
warmup_dyn,30,25,10,1.0,-19.46253595352173,0.0,0.0,-16.56354088783264,-19.46253595352173,0.0,0.0,320.994889831543,
warmup_dyn,35,25,10,1.0,-19.474135398864746,0.0,0.0,-16.56354088783264,-19.474135398864746,0.0,0.0,320.994889831543,
warmup_dyn,40,25,10,1.0,-19.484648132324217,0.0,0.0,-16.56354088783264,-19.484648132324217,0.0,0.0,320.994889831543,
warmup_dyn,45,25,10,1.0,-19.49361515045166,0.0,0.0,-16.56354088783264,-19.49361515045166,0.0,0.0,320.994889831543,
warmup_dyn,50,25,10,1.0,-19.50065326690674,0.0,0.0,-16.56354088783264,-19.50065326690674,0.0,0.0,320.994889831543,
warmup_dyn,55,25,10,1.0,-19.50702486038208,0.0,0.0,-16.56354088783264,-19.50702486038208,0.0,0.0,320.994889831543,
warmup_dyn,60,25,10,1.0,-19.512474727630615,0.0,0.0,-16.56354088783264,-19.512474727630615,0.0,0.0,320.994889831543,
warmup_dyn,65,25,10,1.0,-19.517212295532225,0.0,0.0,-16.56354088783264,-19.517212295532225,0.0,0.0,320.994889831543,
warmup_dyn,70,25,10,1.0,-19.521331596374512,0.0,0.0,-16.56354088783264,-19.521331596374512,0.0,0.0,320.994889831543,
warmup_dyn,75,25,10,1.0,-19.52548713684082,0.0,0.0,-16.56354088783264,-19.52548713684082,0.0,0.0,320.994889831543,
warmup_dyn,80,25,10,1.0,-19.528361225128172,0.0,0.0,-16.56354088783264,-19.528361225128172,0.0,0.0,320.994889831543,
warmup_dyn,85,25,10,1.0,-19.531669902801514,0.0,0.0,-16.56354088783264,-19.531669902801514,0.0,0.0,320.994889831543,
warmup_dyn,90,25,10,1.0,-19.534308910369873,0.0,0.0,-16.56354088783264,-19.534308910369873,0.0,0.0,320.994889831543,
warmup_dyn,95,25,10,1.0,-19.537670421600343,0.0,0.0,-16.56354088783264,-19.537670421600343,0.0,0.0,320.994889831543,
train,5,25,10,1.0,-194.6242805480957,-175.24096908569337,0.0,-16.56354088783264,-19.543814754486085,1.6050438582897186,0.0,320.9951446533203,1.7183282375335693
train,10,25,10,1.0,-194.6268768310547,-175.2409812927246,0.0,-16.56354088783264,-19.546402168273925,1.6050733208656311,0.0,320.99516143798826,1.71798837184906
train,15,25,10,1.0,-194.62964401245117,-175.24096908569337,0.0,-16.56354088783264,-19.54918909072876,1.6051483035087586,0.0,320.99514923095705,1.7175794839859009
train,20,25,10,1.0,-194.63262710571288,-175.2409927368164,0.0,-16.56354088783264,-19.55213212966919,1.6049717128276826,0.0,320.995182800293,1.7172542810440063
