seed,window_size,lam,sharpe,cumret,meanret,stdret
1,4,0.05,1.72,1.092,0.001,0.007
1,5,0.0001,1.145,1.142,0.001,0.015
1,5,0.0005,1.145,1.142,0.001,0.015
1,5,0.001,1.724,1.095,0.001,0.007
1,5,0.005,1.734,1.094,0.001,0.007
1,5,0.01,1.731,1.093,0.001,0.007
1,5,0.05,1.725,1.093,0.001,0.007
1,6,0.0001,1.741,1.095,0.001,0.007
1,6,0.0005,1.738,1.094,0.001,0.007
1,6,0.001,1.736,1.094,0.001,0.007
1,6,0.005,1.73,1.093,0.001,0.007
1,6,0.01,1.73,1.093,0.001,0.007
1,6,0.05,1.729,1.093,0.001,0.007
2,4,0.0001,1.145,1.142,0.001,0.015
2,4,0.0005,1.145,1.142,0.001,0.015
2,4,0.001,1.575,1.108,0.001,0.008
2,4,0.005,1.727,1.093,0.001,0.007
2,4,0.01,1.725,1.092,0.001,0.007
2,4,0.05,1.724,1.092,0.001,0.007
2,5,0.0001,1.145,1.142,0.001,0.015
2,5,0.0005,1.145,1.142,0.001,0.015
2,5,0.001,1.719,1.095,0.001,0.007
2,5,0.005,1.713,1.091,0.001,0.007
2,5,0.01,1.721,1.092,0.001,0.007
2,5,0.05,1.727,1.092,0.001,0.007
2,6,0.0005,1.743,1.095,0.001,0.007
2,6,0.0001,1.145,1.142,0.001,0.015
2,6,0.001,1.738,1.094,0.001,0.007
2,6,0.005,1.733,1.093,0.001,0.007
2,6,0.01,1.732,1.093,0.001,0.007
2,6,0.05,1.732,1.093,0.001,0.007
3,4,0.0001,1.145,1.142,0.001,0.015
3,4,0.0005,1.145,1.142,0.001,0.015
3,4,0.001,1.145,1.142,0.001,0.015
3,4,0.005,1.739,1.094,0.001,0.007
3,4,0.01,1.737,1.094,0.001,0.007
3,4,0.05,1.733,1.093,0.001,0.007
3,5,0.0001,1.145,1.142,0.001,0.015
3,5,0.0005,1.145,1.142,0.001,0.015
3,5,0.001,1.145,1.142,0.001,0.015
3,5,0.005,1.726,1.092,0.001,0.007
3,5,0.01,1.728,1.093,0.001,0.007
3,5,0.05,1.727,1.092,0.001,0.007
3,6,0.0001,1.145,1.142,0.001,0.015
3,6,0.0005,1.731,1.095,0.001,0.007
3,6,0.001,1.738,1.095,0.001,0.007
3,6,0.005,1.728,1.093,0.001,0.007
3,6,0.01,1.726,1.093,0.001,0.007
3,6,0.05,1.726,1.092,0.001,0.007
4,4,0.0001,1.145,1.142,0.001,0.015
4,4,0.0005,1.146,1.142,0.001,0.015
4,4,0.001,1.728,1.094,0.001,0.007
4,4,0.005,1.716,1.092,0.001,0.007
4,4,0.01,1.718,1.092,0.001,0.007
4,4,0.05,1.721,1.092,0.001,0.007
4,5,0.0001,1.145,1.142,0.001,0.015
4,5,0.0005,1.145,1.142,0.001,0.015
4,5,0.001,1.717,1.094,0.001,0.007
4,5,0.005,1.722,1.092,0.001,0.007
4,5,0.01,1.722,1.092,0.001,0.007
4,5,0.05,1.719,1.092,0.001,0.007
4,6,0.0001,1.652,1.104,0.001,0.008
4,6,0.0005,1.722,1.094,0.001,0.007
4,6,0.001,1.722,1.093,0.001,0.007
4,6,0.005,1.72,1.092,0.001,0.007
4,6,0.01,1.725,1.092,0.001,0.007
4,6,0.05,1.73,1.093,0.001,0.007
