lam,window_size,networksize,learnrate,seed,sharpe,cumret,meanret,stdret
0.001,1.0,74.66666666666667,0.003222,5.0,3.6350121212121214,1.3351515151515152,0.002606060606060606,0.01089090909090909
0.01,1.0,74.66666666666667,0.003222,5.0,3.3853151515151514,1.314630303030303,0.002478787878787879,0.011254545454545455
0.1,1.0,74.66666666666667,0.003222,5.0,3.6908909090909092,1.3377333333333334,0.0026606060606060604,0.010915151515151515
0.5,1.0,74.66666666666667,0.003222,5.0,2.763242424242424,1.2347030303030304,0.001903030303030303,0.009763636363636363
1.0,1.0,74.66666666666667,0.003222,5.0,2.0370181818181816,1.1495272727272727,0.0012969696969696968,0.008563636363636364
2.0,1.0,74.66666666666667,0.003222,5.0,1.9109454545454545,1.125830303030303,0.0011757575757575759,0.007775757575757576
5.0,1.0,74.66666666666667,0.003222,5.0,1.7750181818181818,1.1108606060606059,0.001090909090909091,0.007496969696969697
10.0,1.0,74.66666666666667,0.003222,5.0,1.5861333333333334,1.091969696969697,0.0009151515151515151,0.0072
20.0,1.0,74.66666666666667,0.003222,5.0,1.6486545454545454,1.0923272727272726,0.0009636363636363637,0.007
40.0,1.0,74.66666666666667,0.003222,5.0,1.6507272727272728,1.0910727272727274,0.0009575757575757576,0.006903030303030302
