phase,epoch,seed,window_size,lam,total_loss,policy_loss,value_loss,kf_loss,dyn_loss,sim_policy_loss,sim_value_loss,discounted_reward,val_sharpe
warmup_kf,5,42,10,1.0,-15.628421258926391,0.0,0.0,-14.597879219055176,-1.0305420368909837,0.0,0.0,262.1232147216797,
warmup_kf,10,42,10,1.0,-17.634379959106447,0.0,0.0,-14.791138744354248,-2.8432411670684816,0.0,0.0,265.49970092773435,
warmup_kf,15,42,10,1.0,-21.16924304962158,0.0,0.0,-14.976755952835083,-6.192487072944641,0.0,0.0,268.81388397216796,
warmup_kf,20,42,10,1.0,-26.08125114440918,0.0,0.0,-15.154357051849365,-10.926893997192384,0.0,0.0,272.05977935791014,
warmup_kf,25,42,10,1.0,-29.369525718688966,0.0,0.0,-15.323576354980469,-14.04594898223877,0.0,0.0,275.23023834228513,
warmup_kf,30,42,10,1.0,-31.148310375213622,0.0,0.0,-15.484102201461791,-15.66420841217041,0.0,0.0,278.31749420166017,
warmup_kf,35,42,10,1.0,-32.28770341873169,0.0,0.0,-15.635700130462647,-16.652003383636476,0.0,0.0,281.31361083984376,
warmup_kf,40,42,10,1.0,-33.118279457092285,0.0,0.0,-15.77822470664978,-17.340054416656493,0.0,0.0,284.21048431396486,
warmup_kf,45,42,10,1.0,-33.76550846099853,0.0,0.0,-15.911638450622558,-17.853869819641112,0.0,0.0,287.00030517578125,
warmup_kf,50,42,10,1.0,-34.284257125854495,0.0,0.0,-16.03601050376892,-18.248247337341308,0.0,0.0,289.6759002685547,
warmup_kf,55,42,10,1.0,-34.71205368041992,0.0,0.0,-16.151520252227783,-18.560533332824708,0.0,0.0,292.23120880126953,
warmup_kf,60,42,10,1.0,-35.07234859466553,0.0,0.0,-16.25844449996948,-18.81390438079834,0.0,0.0,294.66151733398436,
warmup_kf,65,42,10,1.0,-35.38115215301514,0.0,0.0,-16.357135152816774,-19.024017429351808,0.0,0.0,296.96370391845704,
warmup_kf,70,42,10,1.0,-35.64981746673584,0.0,0.0,-16.44800672531128,-19.201811408996583,0.0,0.0,299.1366668701172,
