lam,window_size,networksize,learnrate,seed,sharpe,cumret,meanret,stdret
0.001,110.0,64.0,0.001,4.5,1.7476333333333331,1.1379000000000001,0.001,0.010466666666666666
0.1,110.0,64.0,0.001,4.5,1.5695333333333332,1.1403,0.0009666666666666668,0.011833333333333335
1.0,110.0,64.0,0.001,4.5,1.3062666666666667,1.1161,0.0007666666666666667,0.011633333333333334
10.0,110.0,64.0,0.001,4.5,0.8463666666666666,1.0975666666666666,0.0006666666666666666,0.012466666666666668
