phase,epoch,seed,window_size,lam,total_loss,policy_loss,value_loss,kf_loss,dyn_loss,sim_policy_loss,sim_value_loss,discounted_reward,val_sharpe,avg_weight_JPM,avg_weight_JNJ,avg_weight_MSFT,avg_weight_PG,avg_weight_XOM
train,0,0,1,0.1,0.005154201080086732,0.005154201080086732,0.0,0.0,0.0,0.0,0.0,-0.003947016239787142,,,,,,
train,1,0,1,0.1,0.0012950302014930867,0.0012950302014930867,0.0,0.0,0.0,0.0,0.0,-0.0006715744532936928,,,,,,
train,2,0,1,0.1,0.0027023207158872894,0.0027023207158872894,0.0,0.0,0.0,0.0,0.0,0.0023498106245681935,,,,,,
train,3,0,1,0.1,0.0033352990616478174,0.0033352990616478174,0.0,0.0,0.0,0.0,0.0,-0.0016318619999961526,,,,,,
train,4,0,1,0.1,0.010459260036940594,0.010459260036940594,0.0,0.0,0.0,0.0,0.0,-0.00821774008263852,,,,,,
train,5,0,1,0.1,0.0019880565438036095,0.0019880565438036095,0.0,0.0,0.0,0.0,0.0,-0.0010867408390029096,1.6851463317871094,0.20538930594921112,0.17648792266845703,0.17873866856098175,0.18731153011322021,0.25207260251045227
train,6,0,1,0.1,0.0003473326625466785,0.0003473326625466785,0.0,0.0,0.0,0.0,0.0,0.0006880300329523344,,,,,,
train,7,0,1,0.1,-0.0008376351866971556,-0.0008376351866971556,0.0,0.0,0.0,0.0,0.0,0.0022965735326721973,,,,,,
train,8,0,1,0.1,0.00726239058552464,0.00726239058552464,0.0,0.0,0.0,0.0,0.0,-0.00025136226915991775,,,,,,
train,9,0,1,0.1,0.003399400520720519,0.003399400520720519,0.0,0.0,0.0,0.0,0.0,-0.001022771553264237,,,,,,
train,10,0,1,0.1,0.009248883495399473,0.009248883495399473,0.0,0.0,0.0,0.0,0.0,-0.002070558121583114,1.6968176364898682,0.18032890558242798,0.20023700594902039,0.1672358512878418,0.18155290186405182,0.2706453204154968
train,11,0,1,0.1,-0.0024089526257240305,-0.0024089526257240305,0.0,0.0,0.0,0.0,0.0,0.0032475269856114012,,,,,,
train,12,0,1,0.1,0.002126429405739056,0.002126429405739056,0.0,0.0,0.0,0.0,0.0,-0.0010480833988563687,,,,,,
train,13,0,1,0.1,0.002714160170095662,0.002714160170095662,0.0,0.0,0.0,0.0,0.0,0.0008060259598435141,,,,,,
train,14,0,1,0.1,-0.004170628567425963,-0.004170628567425963,0.0,0.0,0.0,0.0,0.0,0.00016439288133280534,,,,,,
train,15,0,1,0.1,0.006581100244896815,0.006581100244896815,0.0,0.0,0.0,0.0,0.0,-0.002013882549077857,1.6771965026855469,0.1485416144132614,0.19786982238292694,0.16011212766170502,0.18873180449008942,0.3047446012496948
train,16,0,1,0.1,0.0037491027478073887,0.0037491027478073887,0.0,0.0,0.0,0.0,0.0,-0.0015696052589691152,,,,,,
train,17,0,1,0.1,0.0038901683066939643,0.0038901683066939643,0.0,0.0,0.0,0.0,0.0,-0.0019485092329263104,,,,,,
train,18,0,1,0.1,0.004237479941152474,0.004237479941152474,0.0,0.0,0.0,0.0,0.0,-0.0020614935943455088,,,,,,
train,19,0,1,0.1,0.0018778229018161987,0.0018778229018161987,0.0,0.0,0.0,0.0,0.0,-0.00043222845038946937,,,,,,
train,20,0,1,0.1,-0.0024218617564103766,-0.0024218617564103766,0.0,0.0,0.0,0.0,0.0,0.0019170974732796644,1.657701015472412,0.13203369081020355,0.17237888276576996,0.16898635029792786,0.2172103077173233,0.30939075350761414
train,21,0,1,0.1,0.0010591557126163559,0.0010591557126163559,0.0,0.0,0.0,0.0,0.0,0.0024704365653223266,,,,,,
train,22,0,1,0.1,0.009106627373280479,0.009106627373280479,0.0,0.0,0.0,0.0,0.0,-0.0017154126145018666,,,,,,
train,23,0,1,0.1,-0.001102416353259126,-0.001102416353259126,0.0,0.0,0.0,0.0,0.0,0.0028860301336310072,,,,,,
train,24,0,1,0.1,0.000979267992079258,0.000979267992079258,0.0,0.0,0.0,0.0,0.0,-0.001623217842779031,,,,,,
train,25,0,1,0.1,0.003274343404080034,0.003274343404080034,0.0,0.0,0.0,0.0,0.0,-0.0011513442367169203,1.6666476726531982,0.13850298523902893,0.16240300238132477,0.18162710964679718,0.2284018099308014,0.28906509280204773
train,26,0,1,0.1,0.01032773514595522,0.01032773514595522,0.0,0.0,0.0,0.0,0.0,-0.003904113135136226,,,,,,
train,27,0,1,0.1,0.004265900443915241,0.004265900443915241,0.0,0.0,0.0,0.0,0.0,4.328432602479177e-05,,,,,,
train,28,0,1,0.1,0.004181922577759799,0.004181922577759799,0.0,0.0,0.0,0.0,0.0,-0.0030532780596438575,,,,,,
train,29,0,1,0.1,0.0066029719264228265,0.0066029719264228265,0.0,0.0,0.0,0.0,0.0,-0.0008172055012455173,,,,,,
train,30,0,1,0.1,0.0023820599627808903,0.0023820599627808903,0.0,0.0,0.0,0.0,0.0,0.0030242796398370583,1.6618767976760864,0.14142844080924988,0.16840216517448425,0.17790263891220093,0.23744210600852966,0.27482467889785767
train,31,0,1,0.1,-0.00443503782769446,-0.00443503782769446,0.0,0.0,0.0,0.0,0.0,0.0026189097678106206,,,,,,
train,32,0,1,0.1,0.008192804925070674,0.008192804925070674,0.0,0.0,0.0,0.0,0.0,-0.0029626849710064776,,,,,,
train,33,0,1,0.1,0.013479098560649208,0.013479098560649208,0.0,0.0,0.0,0.0,0.0,-0.002981852285801342,,,,,,
train,34,0,1,0.1,0.007722871451109063,0.007722871451109063,0.0,0.0,0.0,0.0,0.0,-0.0031985249895346807,,,,,,
train,35,0,1,0.1,0.0007177334011751501,0.0007177334011751501,0.0,0.0,0.0,0.0,0.0,0.0030488817263211983,1.6306349039077759,0.12902070581912994,0.1679534912109375,0.16355130076408386,0.24685829877853394,0.29261621832847595
train,36,0,1,0.1,0.006113724383598596,0.006113724383598596,0.0,0.0,0.0,0.0,0.0,-0.0019765399834688973,,,,,,
train,37,0,1,0.1,0.0037875303424502195,0.0037875303424502195,0.0,0.0,0.0,0.0,0.0,0.0012574805832449713,,,,,,
train,38,0,1,0.1,0.0006208378911776212,0.0006208378911776212,0.0,0.0,0.0,0.0,0.0,0.0014567306087187985,,,,,,
train,39,0,1,0.1,-0.00038512920796432914,-0.00038512920796432914,0.0,0.0,0.0,0.0,0.0,0.0018159891204798922,,,,,,
train,40,0,1,0.1,-0.000601169099693424,-0.000601169099693424,0.0,0.0,0.0,0.0,0.0,0.0013670042504136469,1.588213562965393,0.11408913135528564,0.14677925407886505,0.15491463243961334,0.23654185235500336,0.3476751148700714
train,41,0,1,0.1,-0.0016767965337517216,-0.0016767965337517216,0.0,0.0,0.0,0.0,0.0,0.001096791400592409,,,,,,
train,42,0,1,0.1,0.011064062564400956,0.011064062564400956,0.0,0.0,0.0,0.0,0.0,0.0010163589636338693,,,,,,
train,43,0,1,0.1,-0.0015585333127163205,-0.0015585333127163205,0.0,0.0,0.0,0.0,0.0,0.002695404691621661,,,,,,
train,44,0,1,0.1,-0.0031972464685346568,-0.0031972464685346568,0.0,0.0,0.0,0.0,0.0,0.0011374623898197623,,,,,,
train,45,0,1,0.1,0.017098219792459013,0.017098219792459013,0.0,0.0,0.0,0.0,0.0,-0.002379890485648431,1.6123404502868652,0.08859112858772278,0.12800361216068268,0.18290561437606812,0.23089717328548431,0.3696025013923645
train,46,0,1,0.1,6.821975936569895e-05,6.821975936569895e-05,0.0,0.0,0.0,0.0,0.0,0.0019926187427093587,,,,,,
train,47,0,1,0.1,0.008343526468653342,0.008343526468653342,0.0,0.0,0.0,0.0,0.0,-0.003171484716528771,,,,,,
train,48,0,1,0.1,0.008155200326548177,0.008155200326548177,0.0,0.0,0.0,0.0,0.0,-0.002351051169064115,,,,,,
train,49,0,1,0.1,0.003264338090244279,0.003264338090244279,0.0,0.0,0.0,0.0,0.0,0.0012020441320012597,,,,,,
train,50,0,1,0.1,0.003849044122605347,0.003849044122605347,0.0,0.0,0.0,0.0,0.0,0.0007021691531454231,1.6593483686447144,0.07339879125356674,0.10402731597423553,0.2306986004114151,0.2112262099981308,0.38064906001091003
train,51,0,1,0.1,0.006670107462388628,0.006670107462388628,0.0,0.0,0.0,0.0,0.0,0.0011201166358374643,,,,,,
train,52,0,1,0.1,0.0020780198335391925,0.0020780198335391925,0.0,0.0,0.0,0.0,0.0,-0.0005783293140577335,,,,,,
