phase,epoch,seed,window_size,lam,total_loss,policy_loss,value_loss,kf_loss,dyn_loss,sim_policy_loss,sim_value_loss,discounted_reward,val_sharpe
warmup_kf,5,21,10,1.0,-15.61557126045227,0.0,0.0,-14.597879219055176,-1.0176920175552369,0.0,0.0,262.12353515625,
warmup_kf,10,21,10,1.0,-17.55697021484375,0.0,0.0,-14.791138744354248,-2.765831506252289,0.0,0.0,265.50000762939453,
warmup_kf,15,21,10,1.0,-20.9000732421875,0.0,0.0,-14.976755952835083,-5.923317098617554,0.0,0.0,268.81419677734374,
warmup_kf,20,21,10,1.0,-25.744974040985106,0.0,0.0,-15.154357051849365,-10.590616941452026,0.0,0.0,272.0600891113281,
warmup_kf,25,21,10,1.0,-29.164161682128906,0.0,0.0,-15.323576354980469,-13.840585327148437,0.0,0.0,275.23054656982424,
warmup_kf,30,21,10,1.0,-30.93411512374878,0.0,0.0,-15.484102201461791,-15.450012922286987,0.0,0.0,278.317805480957,
warmup_kf,35,21,10,1.0,-32.06319131851196,0.0,0.0,-15.635700130462647,-16.42749128341675,0.0,0.0,281.31392974853514,
warmup_kf,40,21,10,1.0,-32.90476245880127,0.0,0.0,-15.77822470664978,-17.126538276672363,0.0,0.0,284.21080169677737,
warmup_kf,45,21,10,1.0,-33.55292682647705,0.0,0.0,-15.911638450622558,-17.641288089752198,0.0,0.0,287.00062255859376,
warmup_kf,50,21,10,1.0,-34.081125831604005,0.0,0.0,-16.03601050376892,-18.045114994049072,0.0,0.0,289.67621154785155,
warmup_kf,55,21,10,1.0,-34.524702644348146,0.0,0.0,-16.151520252227783,-18.373182582855225,0.0,0.0,292.23152313232424,
warmup_kf,60,21,10,1.0,-34.903522682189944,0.0,0.0,-16.25844449996948,-18.64507818222046,0.0,0.0,294.66182098388674,
warmup_kf,65,21,10,1.0,-35.21526126861572,0.0,0.0,-16.357135152816774,-18.858126068115233,0.0,0.0,296.9640090942383,
warmup_kf,70,21,10,1.0,-35.50738716125488,0.0,0.0,-16.44800672531128,-19.05938081741333,0.0,0.0,299.136979675293,
warmup_kf,75,21,10,1.0,-35.731018447875975,0.0,0.0,-16.53150644302368,-19.199512100219728,0.0,0.0,301.18141021728513,
warmup_kf,80,21,10,1.0,-35.985956001281735,0.0,0.0,-16.6080913066864,-19.37786455154419,0.0,0.0,303.0995101928711,
warmup_kf,85,21,10,1.0,-36.148058128356936,0.0,0.0,-16.67822136878967,-19.469836616516112,0.0,0.0,304.89501800537107,
warmup_kf,90,21,10,1.0,-36.38188495635986,0.0,0.0,-16.74234266281128,-19.639542484283446,0.0,0.0,306.5726745605469,
warmup_kf,95,21,10,1.0,-36.503583145141604,0.0,0.0,-16.800889635086058,-19.702693271636964,0.0,0.0,308.1380981445312,
warmup_dyn,5,21,10,1.0,-36.81855659484863,0.0,0.0,-16.90289649963379,-19.91565990447998,0.0,0.0,310.95662384033204,
warmup_dyn,10,21,10,1.0,-37.023844146728514,0.0,0.0,-16.947146129608154,-20.076698207855223,0.0,0.0,312.22254333496096,
warmup_dyn,15,21,10,1.0,-37.10227546691895,0.0,0.0,-16.98740086555481,-20.114874839782715,0.0,0.0,313.4014144897461,
warmup_dyn,20,21,10,1.0,-37.291799545288086,0.0,0.0,-17.0240336894989,-20.267766189575195,0.0,0.0,314.4997329711914,
warmup_dyn,25,21,10,1.0,-37.362371826171874,0.0,0.0,-17.05740542411804,-20.304966545104982,0.0,0.0,315.523747253418,
