phase,epoch,seed,window_size,lam,total_loss,policy_loss,value_loss,kf_loss,dyn_loss,sim_policy_loss,sim_value_loss,discounted_reward,val_sharpe
warmup_kf,5,11,10,1.0,-15.281487417221069,0.0,0.0,-14.597879219055176,-0.6836081922054291,0.0,0.0,262.12348022460935,
warmup_kf,10,11,10,1.0,-16.831864452362062,0.0,0.0,-14.791138744354248,-2.0407256543636323,0.0,0.0,265.4999664306641,
warmup_kf,15,11,10,1.0,-19.537703132629396,0.0,0.0,-14.976755952835083,-4.560947108268738,0.0,0.0,268.8141555786133,
warmup_kf,20,11,10,1.0,-23.65062599182129,0.0,0.0,-15.154357051849365,-8.49626874923706,0.0,0.0,272.06004791259767,
warmup_kf,25,11,10,1.0,-27.980254650115967,0.0,0.0,-15.323576354980469,-12.656678295135498,0.0,0.0,275.23051300048826,
warmup_kf,30,11,10,1.0,-30.490731143951415,0.0,0.0,-15.484102201461791,-15.006628894805909,0.0,0.0,278.31778106689455,
warmup_kf,35,11,10,1.0,-31.98587007522583,0.0,0.0,-15.635700130462647,-16.35016984939575,0.0,0.0,281.31388702392576,
warmup_kf,40,11,10,1.0,-33.00927810668945,0.0,0.0,-15.77822470664978,-17.231053638458253,0.0,0.0,284.21075439453125,
warmup_kf,45,11,10,1.0,-33.77000141143799,0.0,0.0,-15.911638450622558,-17.858362865447997,0.0,0.0,287.0005844116211,
warmup_kf,50,11,10,1.0,-34.35950927734375,0.0,0.0,-16.03601050376892,-18.32349901199341,0.0,0.0,289.6761764526367,
warmup_kf,55,11,10,1.0,-34.83563652038574,0.0,0.0,-16.151520252227783,-18.684116458892824,0.0,0.0,292.23147735595705,
warmup_kf,60,11,10,1.0,-35.226295471191406,0.0,0.0,-16.25844449996948,-18.967851066589354,0.0,0.0,294.66178131103516,
warmup_kf,65,11,10,1.0,-35.54743061065674,0.0,0.0,-16.357135152816774,-19.190295886993407,0.0,0.0,296.9639694213867,
warmup_kf,70,11,10,1.0,-35.825704956054686,0.0,0.0,-16.44800672531128,-19.37769823074341,0.0,0.0,299.13694763183594,
warmup_kf,75,11,10,1.0,-36.060817337036134,0.0,0.0,-16.53150644302368,-19.529310989379884,0.0,0.0,301.1813629150391,
warmup_kf,80,11,10,1.0,-36.268263053894046,0.0,0.0,-16.6080913066864,-19.660171222686767,0.0,0.0,303.0994812011719,
warmup_kf,85,11,10,1.0,-36.449609184265135,0.0,0.0,-16.67822136878967,-19.771388053894043,0.0,0.0,304.8949691772461,
warmup_kf,90,11,10,1.0,-36.61251277923584,0.0,0.0,-16.74234266281128,-19.870169925689698,0.0,0.0,306.57264404296876,
warmup_kf,95,11,10,1.0,-36.75930595397949,0.0,0.0,-16.800889635086058,-19.958416652679443,0.0,0.0,308.13806304931643,
warmup_dyn,5,11,10,1.0,-37.01812305450439,0.0,0.0,-16.90289649963379,-20.115226459503173,0.0,0.0,310.9565887451172,
warmup_dyn,10,11,10,1.0,-37.13440933227539,0.0,0.0,-16.947146129608154,-20.187263011932373,0.0,0.0,312.22249603271484,
warmup_dyn,15,11,10,1.0,-37.244235610961915,0.0,0.0,-16.98740086555481,-20.256834506988525,0.0,0.0,313.40137939453126,
warmup_dyn,20,11,10,1.0,-37.3489501953125,0.0,0.0,-17.0240336894989,-20.324916744232176,0.0,0.0,314.49970092773435,
warmup_dyn,25,11,10,1.0,-37.44968528747559,0.0,0.0,-17.05740542411804,-20.392280197143556,0.0,0.0,315.5237091064453,
warmup_dyn,30,11,10,1.0,-37.54735832214355,0.0,0.0,-17.087872886657713,-20.459485054016113,0.0,0.0,316.4797668457031,
warmup_dyn,35,11,10,1.0,-37.642743301391604,0.0,0.0,-17.115778493881226,-20.526964378356933,0.0,0.0,317.3740631103516,
warmup_dyn,40,11,10,1.0,-37.73646278381348,0.0,0.0,-17.141448402404784,-20.59501447677612,0.0,0.0,318.2127975463867,
warmup_dyn,45,11,10,1.0,-37.829040336608884,0.0,0.0,-17.165184783935548,-20.663856029510498,0.0,0.0,319.00206604003904,
warmup_dyn,50,11,10,1.0,-37.92089309692383,0.0,0.0,-17.187268781661988,-20.733624744415284,0.0,0.0,319.74795684814455,
warmup_dyn,55,11,10,1.0,-38.01232204437256,0.0,0.0,-17.207948446273804,-20.804374027252198,0.0,0.0,320.4564544677734,
warmup_dyn,60,11,10,1.0,-38.10356845855713,0.0,0.0,-17.227440881729127,-20.87612771987915,0.0,0.0,321.13323669433595,
warmup_dyn,65,11,10,1.0,-38.19477481842041,0.0,0.0,-17.245928621292116,-20.948846340179443,0.0,0.0,321.78380432128904,
