networksize,window_size,lam,learnrate,seed,sharpe,cumret,meanret,stdret
32,1.0,1.0,0.0022221999999999997,1.5,1.93775,1.13205,0.0012000000000000001,0.00765
64,1.0,1.0,0.0022221999999999997,1.5,2.1153500000000003,1.15605,0.00135,0.008549999999999999
128,1.0,1.0,0.0022221999999999997,1.5,2.0326999999999997,1.14405,0.00125,0.0085
