q=4.2e-04, r=7.2e-05, meanNIS=4.96, inside=0.83, above=0.07, below=0.09, score=0.63, mean whitened innovation=-0.0011, std whitened innovation=0.9963
q=1.3e-04, r=2.0e-04, meanNIS=4.98, inside=0.83, above=0.07, below=0.10, score=0.64, mean whitened innovation=-0.0020, std whitened innovation=0.9978
q=6.1e-04, r=7.1e-06, meanNIS=4.90, inside=0.84, above=0.07, below=0.08, score=0.64, mean whitened innovation=-0.0008, std whitened innovation=0.9895
q=5.6e-04, r=2.6e-05, meanNIS=4.90, inside=0.84, above=0.07, below=0.08, score=0.64, mean whitened innovation=-0.0009, std whitened innovation=0.9895
q=4.4e-06, r=2.9e-04, meanNIS=5.10, inside=0.84, above=0.07, below=0.08, score=0.64, mean whitened innovation=-0.0041, std whitened innovation=1.0104
q=4.9e-06, r=2.9e-04, meanNIS=5.09, inside=0.84, above=0.07, below=0.09, score=0.64, mean whitened innovation=-0.0040, std whitened innovation=1.0089
q=4.6e-04, r=5.5e-05, meanNIS=5.01, inside=0.82, above=0.09, below=0.09, score=0.64, mean whitened innovation=-0.0010, std whitened innovation=1.0013
q=2.9e-04, r=1.3e-04, meanNIS=4.92, inside=0.84, above=0.07, below=0.09, score=0.64, mean whitened innovation=-0.0014, std whitened innovation=0.9921
q=5.6e-04, r=1.8e-05, meanNIS=5.08, inside=0.84, above=0.08, below=0.08, score=0.65, mean whitened innovation=-0.0009, std whitened innovation=1.0080
q=4.0e-06, r=2.9e-04, meanNIS=5.12, inside=0.84, above=0.07, below=0.08, score=0.65, mean whitened innovation=-0.0042, std whitened innovation=1.0118
q=6.1e-04, r=7.7e-06, meanNIS=4.88, inside=0.84, above=0.07, below=0.08, score=0.65, mean whitened innovation=-0.0008, std whitened innovation=0.9879
q=5.1e-04, r=4.1e-05, meanNIS=4.94, inside=0.83, above=0.08, below=0.09, score=0.65, mean whitened innovation=-0.0009, std whitened innovation=0.9945
q=3.5e-04, r=9.5e-05, meanNIS=5.06, inside=0.83, above=0.08, below=0.08, score=0.65, mean whitened innovation=-0.0012, std whitened innovation=1.0057
q=5.1e-04, r=3.8e-05, meanNIS=5.03, inside=0.82, above=0.09, below=0.09, score=0.66, mean whitened innovation=-0.0009, std whitened innovation=1.0027
q=2.4e-04, r=1.5e-04, meanNIS=4.84, inside=0.85, above=0.06, below=0.09, score=0.66, mean whitened innovation=-0.0015, std whitened innovation=0.9835
q=3.2e-04, r=1.1e-04, meanNIS=4.91, inside=0.83, above=0.08, below=0.09, score=0.67, mean whitened innovation=-0.0013, std whitened innovation=0.9910
q=1.0e-05, r=2.9e-04, meanNIS=4.94, inside=0.83, above=0.06, below=0.11, score=0.68, mean whitened innovation=-0.0035, std whitened innovation=0.9937
q=3.7e-06, r=2.9e-04, meanNIS=5.13, inside=0.84, above=0.07, below=0.09, score=0.68, mean whitened innovation=-0.0043, std whitened innovation=1.0132
q=5.6e-04, r=1.6e-05, meanNIS=5.12, inside=0.84, above=0.08, below=0.08, score=0.68, mean whitened innovation=-0.0009, std whitened innovation=1.0118
q=4.6e-04, r=6.0e-05, meanNIS=4.90, inside=0.83, above=0.08, below=0.09, score=0.68, mean whitened innovation=-0.0010, std whitened innovation=0.9897
q=3.5e-04, r=1.0e-04, meanNIS=4.86, inside=0.84, above=0.07, below=0.08, score=0.68, mean whitened innovation=-0.0012, std whitened innovation=0.9863
q=6.1e-04, r=8.5e-06, meanNIS=4.86, inside=0.84, above=0.07, below=0.09, score=0.68, mean whitened innovation=-0.0008, std whitened innovation=0.9862
q=3.2e-04, r=1.0e-04, meanNIS=5.12, inside=0.84, above=0.08, below=0.08, score=0.69, mean whitened innovation=-0.0013, std whitened innovation=1.0124
q=5.6e-04, r=2.8e-05, meanNIS=4.84, inside=0.84, above=0.07, below=0.08, score=0.69, mean whitened innovation=-0.0009, std whitened innovation=0.9839
q=3.9e-04, r=7.9e-05, meanNIS=5.12, inside=0.83, above=0.08, below=0.08, score=0.70, mean whitened innovation=-0.0011, std whitened innovation=1.0121
q=5.1e-04, r=3.4e-05, meanNIS=5.11, inside=0.83, above=0.09, below=0.08, score=0.70, mean whitened innovation=-0.0009, std whitened innovation=1.0105
q=6.1e-04, r=9.3e-06, meanNIS=4.85, inside=0.84, above=0.07, below=0.09, score=0.70, mean whitened innovation=-0.0008, std whitened innovation=0.9844
q=2.2e-04, r=1.7e-04, meanNIS=4.74, inside=0.86, above=0.06, below=0.08, score=0.71, mean whitened innovation=-0.0016, std whitened innovation=0.9741
q=2.8e-05, r=2.7e-04, meanNIS=5.01, inside=0.81, above=0.07, below=0.12, score=0.71, mean whitened innovation=-0.0029, std whitened innovation=1.0014
q=1.8e-04, r=1.8e-04, meanNIS=4.77, inside=0.85, above=0.06, below=0.09, score=0.71, mean whitened innovation=-0.0017, std whitened innovation=0.9769
q=5.6e-04, r=1.5e-05, meanNIS=5.15, inside=0.84, above=0.09, below=0.07, score=0.72, mean whitened innovation=-0.0009, std whitened innovation=1.0154
q=6.0e-05, r=2.4e-04, meanNIS=4.98, inside=0.81, above=0.07, below=0.12, score=0.72, mean whitened innovation=-0.0025, std whitened innovation=0.9975
q=2.0e-04, r=1.5e-04, meanNIS=5.21, inside=0.85, above=0.07, below=0.08, score=0.72, mean whitened innovation=-0.0017, std whitened innovation=1.0205
q=3.1e-06, r=2.9e-04, meanNIS=5.16, inside=0.84, above=0.07, below=0.09, score=0.72, mean whitened innovation=-0.0044, std whitened innovation=1.0157
q=1.4e-04, r=2.0e-04, meanNIS=4.86, inside=0.83, above=0.07, below=0.10, score=0.72, mean whitened innovation=-0.0019, std whitened innovation=0.9857
q=6.1e-04, r=1.0e-05, meanNIS=4.83, inside=0.84, above=0.07, below=0.09, score=0.72, mean whitened innovation=-0.0008, std whitened innovation=0.9824
q=5.1e-04, r=4.5e-05, meanNIS=4.86, inside=0.83, above=0.07, below=0.09, score=0.72, mean whitened innovation=-0.0009, std whitened innovation=0.9856
q=1.1e-04, r=2.0e-04, meanNIS=5.09, inside=0.82, above=0.07, below=0.10, score=0.72, mean whitened innovation=-0.0021, std whitened innovation=1.0094
q=1.0e-06, r=3.2e-04, meanNIS=4.81, inside=0.84, above=0.07, below=0.09, score=0.73, mean whitened innovation=-0.0051, std whitened innovation=0.9804
q=3.4e-06, r=2.9e-04, meanNIS=5.15, inside=0.83, above=0.07, below=0.09, score=0.73, mean whitened innovation=-0.0043, std whitened innovation=1.0145
q=2.7e-04, r=1.3e-04, meanNIS=5.15, inside=0.83, above=0.08, below=0.08, score=0.73, mean whitened innovation=-0.0014, std whitened innovation=1.0146
q=1.1e-06, r=3.2e-04, meanNIS=4.80, inside=0.84, above=0.07, below=0.09, score=0.73, mean whitened innovation=-0.0050, std whitened innovation=0.9798
q=2.8e-06, r=2.9e-04, meanNIS=5.17, inside=0.84, above=0.07, below=0.09, score=0.73, mean whitened innovation=-0.0045, std whitened innovation=1.0169
q=2.6e-05, r=2.7e-04, meanNIS=5.06, inside=0.81, above=0.07, below=0.12, score=0.74, mean whitened innovation=-0.0030, std whitened innovation=1.0057
q=2.9e-04, r=1.1e-04, meanNIS=5.15, inside=0.83, above=0.08, below=0.08, score=0.74, mean whitened innovation=-0.0014, std whitened innovation=1.0154
q=4.6e-04, r=5.0e-05, meanNIS=5.12, inside=0.83, above=0.09, below=0.08, score=0.74, mean whitened innovation=-0.0010, std whitened innovation=1.0123
q=5.5e-05, r=2.4e-04, meanNIS=5.04, inside=0.81, above=0.07, below=0.12, score=0.74, mean whitened innovation=-0.0025, std whitened innovation=1.0044
q=1.6e-06, r=3.2e-04, meanNIS=4.77, inside=0.85, above=0.07, below=0.09, score=0.74, mean whitened innovation=-0.0048, std whitened innovation=0.9770
q=2.4e-05, r=2.7e-04, meanNIS=5.10, inside=0.82, above=0.07, below=0.11, score=0.74, mean whitened innovation=-0.0030, std whitened innovation=1.0098
q=6.1e-04, r=1.1e-05, meanNIS=4.80, inside=0.84, above=0.07, below=0.09, score=0.74, mean whitened innovation=-0.0008, std whitened innovation=0.9801
q=2.5e-06, r=2.9e-04, meanNIS=5.18, inside=0.84, above=0.07, below=0.09, score=0.75, mean whitened innovation=-0.0046, std whitened innovation=1.0180
q=1.1e-05, r=2.9e-04, meanNIS=4.91, inside=0.82, above=0.07, below=0.12, score=0.75, mean whitened innovation=-0.0034, std whitened innovation=0.9914
q=1.7e-06, r=3.2e-04, meanNIS=4.77, inside=0.85, above=0.07, below=0.09, score=0.75, mean whitened innovation=-0.0047, std whitened innovation=0.9763
q=4.2e-04, r=6.6e-05, meanNIS=5.10, inside=0.82, above=0.09, below=0.09, score=0.75, mean whitened innovation=-0.0011, std whitened innovation=1.0104
q=2.1e-06, r=2.9e-04, meanNIS=5.20, inside=0.84, above=0.07, below=0.08, score=0.75, mean whitened innovation=-0.0047, std whitened innovation=1.0200
q=1.5e-06, r=3.2e-04, meanNIS=4.78, inside=0.84, above=0.07, below=0.09, score=0.75, mean whitened innovation=-0.0048, std whitened innovation=0.9778
q=9.5e-05, r=2.2e-04, meanNIS=4.94, inside=0.81, above=0.07, below=0.12, score=0.75, mean whitened innovation=-0.0022, std whitened innovation=0.9943
q=5.6e-04, r=1.4e-05, meanNIS=5.19, inside=0.84, above=0.09, below=0.07, score=0.75, mean whitened innovation=-0.0009, std whitened innovation=1.0186
q=1.7e-04, r=1.7e-04, meanNIS=5.24, inside=0.85, above=0.07, below=0.08, score=0.75, mean whitened innovation=-0.0018, std whitened innovation=1.0234
q=1.2e-06, r=3.2e-04, meanNIS=4.79, inside=0.84, above=0.07, below=0.09, score=0.75, mean whitened innovation=-0.0050, std whitened innovation=0.9791
q=4.6e-04, r=6.6e-05, meanNIS=4.78, inside=0.84, above=0.06, below=0.09, score=0.76, mean whitened innovation=-0.0010, std whitened innovation=0.9774
q=1.2e-05, r=2.9e-04, meanNIS=4.89, inside=0.82, above=0.07, below=0.11, score=0.76, mean whitened innovation=-0.0034, std whitened innovation=0.9889
q=2.3e-06, r=2.9e-04, meanNIS=5.19, inside=0.84, above=0.07, below=0.09, score=0.76, mean whitened innovation=-0.0046, std whitened innovation=1.0190
q=3.1e-05, r=2.7e-04, meanNIS=4.97, inside=0.80, above=0.07, below=0.13, score=0.76, mean whitened innovation=-0.0028, std whitened innovation=0.9969
q=1.9e-06, r=2.9e-04, meanNIS=5.21, inside=0.84, above=0.07, below=0.08, score=0.76, mean whitened innovation=-0.0048, std whitened innovation=1.0210
q=1.1e-06, r=2.9e-04, meanNIS=5.26, inside=0.85, above=0.07, below=0.07, score=0.76, mean whitened innovation=-0.0052, std whitened innovation=1.0258
q=1.3e-06, r=3.2e-04, meanNIS=4.79, inside=0.84, above=0.07, below=0.09, score=0.76, mean whitened innovation=-0.0049, std whitened innovation=0.9785
q=4.2e-04, r=7.9e-05, meanNIS=4.82, inside=0.83, above=0.07, below=0.10, score=0.76, mean whitened innovation=-0.0011, std whitened innovation=0.9815
q=8.7e-05, r=2.2e-04, meanNIS=5.04, inside=0.80, above=0.07, below=0.12, score=0.76, mean whitened innovation=-0.0023, std whitened innovation=1.0037
q=5.6e-04, r=3.1e-05, meanNIS=4.78, inside=0.84, above=0.07, below=0.09, score=0.77, mean whitened innovation=-0.0009, std whitened innovation=0.9779
q=3.9e-04, r=9.5e-05, meanNIS=4.78, inside=0.84, above=0.07, below=0.09, score=0.77, mean whitened innovation=-0.0012, std whitened innovation=0.9779
q=1.0e-06, r=2.9e-04, meanNIS=5.27, inside=0.85, above=0.07, below=0.07, score=0.77, mean whitened innovation=-0.0053, std whitened innovation=1.0264
q=6.1e-04, r=1.2e-05, meanNIS=4.78, inside=0.84, above=0.07, below=0.09, score=0.77, mean whitened innovation=-0.0008, std whitened innovation=0.9777
q=1.7e-06, r=2.9e-04, meanNIS=5.22, inside=0.84, above=0.07, below=0.08, score=0.77, mean whitened innovation=-0.0049, std whitened innovation=1.0219
q=5.1e-04, r=3.1e-05, meanNIS=5.18, inside=0.83, above=0.09, below=0.08, score=0.78, mean whitened innovation=-0.0009, std whitened innovation=1.0177
q=1.4e-05, r=2.9e-04, meanNIS=4.86, inside=0.82, above=0.07, below=0.11, score=0.78, mean whitened innovation=-0.0033, std whitened innovation=0.9863
q=5.6e-04, r=1.2e-05, meanNIS=5.22, inside=0.84, above=0.09, below=0.07, score=0.78, mean whitened innovation=-0.0009, std whitened innovation=1.0216
q=2.2e-05, r=2.7e-04, meanNIS=5.14, inside=0.82, above=0.07, below=0.11, score=0.78, mean whitened innovation=-0.0031, std whitened innovation=1.0136
q=1.5e-06, r=2.9e-04, meanNIS=5.24, inside=0.84, above=0.07, below=0.08, score=0.79, mean whitened innovation=-0.0050, std whitened innovation=1.0236
q=3.4e-05, r=2.7e-04, meanNIS=4.92, inside=0.81, above=0.07, below=0.13, score=0.79, mean whitened innovation=-0.0028, std whitened innovation=0.9922
q=1.9e-06, r=3.2e-04, meanNIS=4.76, inside=0.84, above=0.07, below=0.09, score=0.79, mean whitened innovation=-0.0046, std whitened innovation=0.9754
q=6.6e-05, r=2.4e-04, meanNIS=4.90, inside=0.81, above=0.07, below=0.12, score=0.79, mean whitened innovation=-0.0024, std whitened innovation=0.9903
q=1.5e-05, r=2.9e-04, meanNIS=4.84, inside=0.82, above=0.07, below=0.11, score=0.79, mean whitened innovation=-0.0032, std whitened innovation=0.9835
q=1.4e-04, r=1.8e-04, meanNIS=5.20, inside=0.83, above=0.08, below=0.09, score=0.79, mean whitened innovation=-0.0020, std whitened innovation=1.0194
q=6.1e-04, r=1.4e-05, meanNIS=4.75, inside=0.84, above=0.07, below=0.09, score=0.79, mean whitened innovation=-0.0008, std whitened innovation=0.9751
q=1.3e-06, r=2.9e-04, meanNIS=5.25, inside=0.84, above=0.08, below=0.08, score=0.79, mean whitened innovation=-0.0051, std whitened innovation=1.0243
q=1.6e-06, r=2.9e-04, meanNIS=5.23, inside=0.84, above=0.07, below=0.09, score=0.79, mean whitened innovation=-0.0049, std whitened innovation=1.0227
q=1.5e-04, r=2.0e-04, meanNIS=4.73, inside=0.84, above=0.06, below=0.10, score=0.80, mean whitened innovation=-0.0019, std whitened innovation=0.9731
q=5.1e-04, r=5.0e-05, meanNIS=4.77, inside=0.84, above=0.07, below=0.10, score=0.80, mean whitened innovation=-0.0009, std whitened innovation=0.9763
q=2.1e-06, r=3.2e-04, meanNIS=4.75, inside=0.84, above=0.07, below=0.09, score=0.80, mean whitened innovation=-0.0046, std whitened innovation=0.9746
q=1.2e-06, r=2.9e-04, meanNIS=5.25, inside=0.84, above=0.08, below=0.08, score=0.80, mean whitened innovation=-0.0051, std whitened innovation=1.0251
q=2.0e-05, r=2.7e-04, meanNIS=5.17, inside=0.82, above=0.07, below=0.11, score=0.80, mean whitened innovation=-0.0031, std whitened innovation=1.0173
q=5.0e-05, r=2.4e-04, meanNIS=5.11, inside=0.81, above=0.07, below=0.11, score=0.80, mean whitened innovation=-0.0026, std whitened innovation=1.0109
q=2.9e-04, r=1.4e-04, meanNIS=4.69, inside=0.85, above=0.06, below=0.09, score=0.81, mean whitened innovation=-0.0014, std whitened innovation=0.9685
