combo_id,window_size,lr_actor,dyn_sim_M,dyn_sim_deterministic,dyn_sim_pl_weight,lam,actor_weight,kappa_unc,seed,best_val_sharpe,test_sharpe,test_total_return,test_mean_return,test_std_return,min_return
0,10,0.001,10,True,0.1,1.0,1.0,0.0,7,-inf,1.8036481142044067,1.0965352058410645,0.0007425788789987564,0.006535674445331097,-0.0489693284034729
0,10,0.001,10,True,0.1,1.0,1.0,0.0,5,-inf,1.8077127933502197,1.096254825592041,0.0007404218195006251,0.0065020364709198475,-0.04790294170379639
0,10,0.001,10,True,0.1,1.0,1.0,0.0,0,-inf,1.9956144094467163,1.1085939407348633,0.0008353381417691708,0.006644851993769407,-0.0454256534576416
0,10,0.001,10,True,0.1,1.0,1.0,0.0,3,-inf,1.7003611326217651,1.090640902519226,0.0006972373812459409,0.006509372498840094,-0.05018121004104614
0,10,0.001,10,True,0.1,1.0,1.0,0.0,2,-inf,1.9183530807495117,1.1031088829040527,0.000793145562056452,0.0065633258782327175,-0.04622650146484375
0,10,0.001,10,True,0.1,1.0,1.0,0.0,6,-inf,2.0032639503479004,1.1083314418792725,0.0008333185105584562,0.006603474263101816,-0.04491531848907471
0,10,0.001,10,True,0.1,1.0,1.0,0.0,4,-inf,1.9937366247177124,1.1134510040283203,0.0008727000094950199,0.006948592606931925,-0.045367300510406494
0,10,0.001,10,True,0.1,1.0,1.0,0.0,1,-inf,1.9345542192459106,1.1035057306289673,0.000796197506133467,0.006533404346555471,-0.04761385917663574
0,10,0.001,10,True,0.1,1.0,1.0,0.0,8,-inf,1.9244258403778076,1.103692889213562,0.0007976378547027707,0.0065796710550785065,-0.04703223705291748
0,10,0.001,10,True,0.1,1.0,1.0,0.0,9,-inf,1.8960145711898804,1.1020630598068237,0.0007851000991649926,0.006573292892426252,-0.04747074842453003
1,10,0.001,10,True,0.1,1.0,1.0,0.1,0,-inf,1.8407009840011597,1.1106834411621094,0.0008514110231772065,0.007342698983848095,-0.04843097925186157
1,10,0.001,10,True,0.1,1.0,1.0,0.1,1,-inf,2.0844483375549316,1.115510106086731,0.0008885389543138444,0.006766825914382935,-0.045008838176727295
1,10,0.001,10,True,0.1,1.0,1.0,0.1,2,-inf,1.9026508331298828,1.1013280153274536,0.0007794466218911111,0.006503196898847818,-0.050396621227264404
1,10,0.001,10,True,0.1,1.0,1.0,0.1,3,-inf,2.0639917850494385,1.1169710159301758,0.000899777514860034,0.0069203306920826435,-0.04482626914978027
1,10,0.001,10,True,0.1,1.0,1.0,0.1,4,-inf,1.9778817892074585,1.107903242111206,0.0008300254121422768,0.0066617862321436405,-0.04580259323120117
