date,MSFT,JPM,JNJ,XOM,PG
2023-10-02,0.16248767,0.18642841,0.26200143,0.02326592,0.36581662
2023-10-03,0.31161836,0.20534883,0.17160557,0.16076790,0.15065938
2023-10-04,0.22824560,0.18309325,0.17042719,0.28627598,0.13195801
2023-10-05,0.28246403,0.17589563,0.12897725,0.31234229,0.10032079
2023-10-06,0.33900839,0.17198852,0.12892839,0.25129211,0.10878258
2023-10-09,0.21135154,0.13228412,0.07793424,0.50423688,0.07419322
2023-10-10,0.17223974,0.12196445,0.07566578,0.55626947,0.07386061
2023-10-11,0.26842472,0.15679021,0.10771744,0.36544162,0.10162598
2023-10-12,0.26381102,0.15559265,0.10854305,0.37074900,0.10130432
2023-10-13,0.18714197,0.14186816,0.09309722,0.48954785,0.08834483
2023-10-16,0.18979344,0.14003316,0.10956135,0.45111397,0.10949814
2023-10-17,0.20700683,0.15226403,0.11628228,0.40850392,0.11594297
2023-10-18,0.20977610,0.17734951,0.19063231,0.21024175,0.21200038
2023-10-19,0.20043051,0.19789603,0.21966740,0.12120850,0.26079759
2023-10-20,0.16808876,0.22468692,0.24374178,0.11092064,0.25256190
2023-10-23,0.15892202,0.18496083,0.23918308,0.14531755,0.27161652
2023-10-24,0.19675519,0.20623222,0.21078871,0.15643577,0.22978805
2023-10-25,0.10938202,0.21165687,0.26159465,0.10152856,0.31583789
2023-10-26,0.12662742,0.19722630,0.26446730,0.10288721,0.30879179
2023-10-27,0.20606287,0.21086842,0.19966564,0.16637152,0.21703155
2023-10-30,0.22500911,0.20565388,0.19821660,0.15173185,0.21938857
2023-10-31,0.23541552,0.22688277,0.20000598,0.14457616,0.19311960
2023-11-01,0.14763482,0.20859568,0.17614806,0.30666730,0.16095410
2023-11-02,0.12445268,0.22032790,0.15335283,0.36205354,0.13981313
2023-11-03,0.13368732,0.23174873,0.14235453,0.35788924,0.13432017
2023-11-06,0.17561726,0.23762585,0.13265553,0.32813570,0.12596567
2023-11-07,0.13899867,0.21827851,0.09505347,0.45839807,0.08927125
2023-11-08,0.17056130,0.18772759,0.09824751,0.45172134,0.09174228
2023-11-09,0.14067174,0.20333561,0.08919536,0.48279172,0.08400551
2023-11-10,0.15983728,0.25540969,0.08110439,0.43070000,0.07294864
2023-11-13,0.21056227,0.24172921,0.11553870,0.31917536,0.11299452
2023-11-14,0.19767158,0.24723201,0.10232225,0.35663751,0.09613660
2023-11-15,0.21158916,0.21811071,0.12411026,0.32650879,0.11968103
2023-11-16,0.17803784,0.19863893,0.11264642,0.40493476,0.10574196
2023-11-17,0.20124123,0.19941856,0.14055431,0.32476762,0.13401829
2023-11-20,0.18988556,0.20999220,0.12118222,0.36308360,0.11585646
2023-11-21,0.23374549,0.16233498,0.18408410,0.22143689,0.19839856
2023-11-22,0.24099001,0.13016817,0.22835135,0.13699092,0.26349953
2023-11-24,0.19646461,0.14656711,0.20136113,0.23276742,0.22283964
2023-11-27,0.12780435,0.15483436,0.18864891,0.32759765,0.20111467
2023-11-28,0.14713439,0.14823973,0.18757759,0.30588886,0.21115938
2023-11-29,0.11150727,0.14613235,0.16058765,0.40149474,0.18027797
2023-11-30,0.17471690,0.16044058,0.20170875,0.24461854,0.21851523
2023-12-01,0.19838847,0.19218978,0.19320922,0.22670297,0.18950954
2023-12-04,0.18389373,0.18942595,0.19440070,0.23902059,0.19325902
2023-12-05,0.14031392,0.19051670,0.15702899,0.35123506,0.16090539
2023-12-06,0.05479135,0.13333727,0.09529878,0.61785495,0.09871767
2023-12-07,0.03290274,0.10273058,0.06564064,0.73246288,0.06626309
2023-12-08,0.04091127,0.10613880,0.06907783,0.71188134,0.07199070
2023-12-11,0.04047264,0.11366922,0.07424953,0.69589317,0.07571550
2023-12-12,0.04137044,0.11116682,0.06688517,0.71450645,0.06607109
2023-12-13,0.06630586,0.13851009,0.11249921,0.56892359,0.11376127
2023-12-14,0.06638643,0.16151132,0.09416740,0.58967721,0.08825766
2023-12-15,0.13000712,0.18385877,0.11065611,0.46666235,0.10881568
2023-12-18,0.16290575,0.17633966,0.14211859,0.36625156,0.15238437
2023-12-19,0.19674392,0.17761667,0.21388343,0.20017490,0.21158107
2023-12-20,0.22631125,0.17818585,0.21795464,0.16302522,0.21452302
2023-12-21,0.18063210,0.18229131,0.19563085,0.25848311,0.18296257
2023-12-22,0.15762451,0.18068428,0.20090985,0.27439722,0.18638417
2023-12-26,0.15957004,0.17635508,0.20097443,0.27247483,0.19062562
2023-12-27,0.15308361,0.18501380,0.18502402,0.30564898,0.17122963
2023-12-28,0.09736571,0.17179637,0.17894861,0.38602221,0.16586709
2023-12-29,0.19230720,0.14995445,0.23290929,0.17536229,0.24946685
2024-01-02,0.18500522,0.17198685,0.23611751,0.18286543,0.22402503
2024-01-03,0.14704113,0.19115224,0.22572139,0.23061579,0.20546943
2024-01-04,0.13566884,0.19495931,0.21971166,0.24742065,0.20223954
2024-01-05,0.21313663,0.19867593,0.23413591,0.14792608,0.20612545
2024-01-08,0.22011055,0.18552895,0.23331626,0.14507098,0.21597324
2024-01-09,0.21506143,0.18235545,0.22092706,0.16632010,0.21533601
2024-01-10,0.22122216,0.16648810,0.20518979,0.18956906,0.21753089
2024-01-11,0.24201643,0.15815428,0.19397293,0.19213623,0.21372013
2024-01-12,0.23749380,0.18081930,0.21141818,0.13057686,0.23969182
2024-01-16,0.25309330,0.17219232,0.20032112,0.13279733,0.24159594
2024-01-17,0.19930020,0.15245867,0.18954186,0.22516569,0.23353356
