date,MSFT,JPM,JNJ,XOM,PG
2023-10-02,0.06171602,0.08539969,0.01365330,0.81917399,0.02005700
2023-10-03,0.20333061,0.15650399,0.10687658,0.41224506,0.12104376
2023-10-04,0.20983018,0.16981030,0.15035720,0.30511996,0.16488229
2023-10-05,0.22610228,0.17999113,0.12252186,0.32832581,0.14305890
2023-10-06,0.20483607,0.17695245,0.13385211,0.32065281,0.16370663
2023-10-09,0.13808815,0.13120843,0.06244338,0.58075720,0.08750291
2023-10-10,0.12856969,0.12243964,0.07373853,0.58038193,0.09487025
2023-10-11,0.16162413,0.16276775,0.10478337,0.43766874,0.13315603
2023-10-12,0.16899289,0.16551697,0.12078857,0.39838141,0.14632012
2023-10-13,0.15479770,0.14624937,0.12913430,0.42624426,0.14357440
2023-10-16,0.17265931,0.13822939,0.16585706,0.33999556,0.18325865
2023-10-17,0.17206283,0.13862652,0.17810202,0.30489418,0.20631446
2023-10-18,0.20625579,0.16739874,0.19467169,0.17991412,0.25175968
2023-10-19,0.21597704,0.20118511,0.20672058,0.12676565,0.24935168
2023-10-20,0.15552217,0.16272911,0.24870729,0.20139694,0.23164447
2023-10-23,0.24346080,0.19554365,0.19124436,0.12768906,0.24206214
2023-10-24,0.25058788,0.18947980,0.19365245,0.12168911,0.24459076
2023-10-25,0.26182517,0.21746314,0.17649470,0.06739488,0.27682218
2023-10-26,0.21767412,0.18692431,0.21186252,0.12728579,0.25625321
2023-10-27,0.24714337,0.19347118,0.19519766,0.10690340,0.25728446
2023-10-30,0.24227683,0.19207312,0.19612373,0.11470663,0.25481960
2023-10-31,0.23857763,0.18638445,0.19912817,0.13002230,0.24588750
2023-11-01,0.21904008,0.16528092,0.19569154,0.17877448,0.24121298
2023-11-02,0.22751722,0.17372993,0.18390092,0.17244400,0.24240793
2023-11-03,0.22026260,0.18534817,0.16340576,0.19298464,0.23799887
2023-11-06,0.21056825,0.17508878,0.16589533,0.20344819,0.24499950
2023-11-07,0.18605013,0.17838052,0.13163367,0.30626100,0.19767471
2023-11-08,0.14171200,0.14750196,0.11440032,0.45126519,0.14512050
2023-11-09,0.13185500,0.15841512,0.08861265,0.49752244,0.12359478
2023-11-10,0.16998026,0.18314077,0.12317629,0.32628924,0.19741341
2023-11-13,0.21614662,0.18918920,0.15425697,0.19007923,0.25032800
2023-11-14,0.21082079,0.20156580,0.14310953,0.21631281,0.22819105
2023-11-15,0.17573737,0.16747932,0.16982734,0.26044956,0.22650644
2023-11-16,0.12851734,0.14365149,0.14883605,0.42182517,0.15716995
2023-11-17,0.15594004,0.15242425,0.19917983,0.28384823,0.20860770
2023-11-20,0.15963025,0.16508752,0.16202065,0.32329017,0.18997143
2023-11-21,0.17112380,0.16232358,0.17925854,0.26451388,0.22278023
2023-11-22,0.20325693,0.16792604,0.18497123,0.20558740,0.23825830
2023-11-24,0.23367289,0.16766806,0.18348323,0.16400452,0.25117126
2023-11-27,0.18958767,0.16023822,0.19450006,0.21900049,0.23667362
2023-11-28,0.18173900,0.14928670,0.18822271,0.24740866,0.23334292
2023-11-29,0.17417200,0.15086113,0.17954610,0.28800201,0.20741881
2023-11-30,0.18600203,0.14514047,0.19767432,0.24720097,0.22398226
2023-12-01,0.17118171,0.16723956,0.20759735,0.24104561,0.21293573
2023-12-04,0.20295364,0.16665696,0.18880716,0.24973644,0.19184580
2023-12-05,0.16892968,0.17322902,0.16585974,0.32991543,0.16206609
2023-12-06,0.12288664,0.14015713,0.08926913,0.55955255,0.08813451
2023-12-07,0.09936214,0.12666236,0.06828824,0.64137542,0.06431188
2023-12-08,0.09773105,0.13691229,0.07365759,0.62553519,0.06616396
2023-12-11,0.09302390,0.13821575,0.07307868,0.63116407,0.06451768
2023-12-12,0.09861176,0.15617004,0.08440432,0.58573592,0.07507804
2023-12-13,0.10671326,0.14684036,0.09382568,0.56609744,0.08652332
2023-12-14,0.08638683,0.16244707,0.07870731,0.60276026,0.06969859
2023-12-15,0.12371454,0.22666426,0.11162543,0.42738253,0.11061331
2023-12-18,0.14946614,0.22588304,0.13886496,0.34193984,0.14384599
2023-12-19,0.16329733,0.18824980,0.20029524,0.23339278,0.21476495
2023-12-20,0.18440525,0.20150505,0.19585697,0.19483583,0.22339685
