date,MSFT,JPM,JNJ,XOM,PG
2024-01-19,0.20929947,0.19381291,0.20212336,0.18905254,0.20571178
2024-01-22,0.20913795,0.19405070,0.20180881,0.18950394,0.20549859
2024-01-23,0.20936351,0.19397125,0.20186797,0.18920895,0.20558831
2024-01-24,0.21004440,0.19322984,0.20265786,0.18790542,0.20616248
2024-01-25,0.21089542,0.19236338,0.20363036,0.18628332,0.20682745
2024-01-26,0.21163793,0.19161014,0.20447516,0.18486463,0.20741212
2024-01-29,0.21255819,0.19063544,0.20558132,0.18309280,0.20813224
2024-01-30,0.21241167,0.19083066,0.20550992,0.18332344,0.20792435
2024-01-31,0.21230200,0.19100675,0.20542799,0.18348223,0.20778100
2024-02-01,0.21224561,0.19124565,0.20530555,0.18361513,0.20758814
2024-02-02,0.21218687,0.19144109,0.20519425,0.18371077,0.20746699
2024-02-05,0.21210453,0.19162866,0.20507945,0.18380029,0.20738712
2024-02-06,0.21200298,0.19172516,0.20502950,0.18390231,0.20734005
2024-02-07,0.21198909,0.19184566,0.20496649,0.18395284,0.20724595
2024-02-08,0.21194594,0.19183958,0.20494841,0.18393213,0.20733395
2024-02-09,0.21189551,0.19181569,0.20495774,0.18395026,0.20738082
2024-02-12,0.21185558,0.19179356,0.20495309,0.18393572,0.20746200
2024-02-13,0.21190622,0.19166741,0.20496501,0.18374537,0.20771594
2024-02-14,0.21184297,0.19157982,0.20499811,0.18372963,0.20784941
2024-02-15,0.21171872,0.19153813,0.20502070,0.18380049,0.20792201
2024-02-16,0.21166207,0.19150648,0.20501314,0.18377833,0.20803994
2024-02-20,0.21164139,0.19150373,0.20500490,0.18377125,0.20807879
2024-02-21,0.21158706,0.19152431,0.20498376,0.18379423,0.20811063
2024-02-22,0.21153715,0.19156791,0.20496240,0.18384764,0.20808490
2024-02-23,0.21155496,0.19165391,0.20492838,0.18389417,0.20796858
2024-02-26,0.21155077,0.19173564,0.20487681,0.18390958,0.20792724
