combo_id,window_size,lr_actor,dyn_sim_M,dyn_sim_deterministic,dyn_sim_pl_weight,lam,actor_weight,kappa_unc,seed,best_val_sharpe,test_sharpe,test_total_return,test_mean_return,test_std_return
0,1,0.001,10,True,0.1,1.0,1.0,1.0,2,-inf,1.9366663694381714,1.1055413484573364,0.0008118567639030516,0.006654635071754456
0,1,0.001,10,True,0.1,1.0,1.0,1.0,0,-inf,1.8493107557296753,1.1007108688354492,0.0007746993796899915,0.0066500199027359486
0,1,0.001,10,True,0.1,1.0,1.0,1.0,7,-inf,1.6606261730194092,1.0890312194824219,0.0006848550983704627,0.006546760443598032
0,1,0.001,10,True,0.1,1.0,1.0,1.0,3,-inf,1.7663822174072266,1.095518946647644,0.0007347613573074341,0.006603303365409374
0,1,0.001,10,True,0.1,1.0,1.0,1.0,5,-inf,1.84255051612854,1.0997322797775269,0.0007671714993193746,0.0066095623187720776
0,1,0.001,10,True,0.1,1.0,1.0,1.0,4,-inf,1.8531265258789062,1.1008096933364868,0.0007754594553261995,0.006642838008701801
0,1,0.001,10,True,0.1,1.0,1.0,1.0,6,-inf,1.7078663110733032,1.0912985801696777,0.0007022965583018959,0.006527791731059551
0,1,0.001,10,True,0.1,1.0,1.0,1.0,1,-inf,1.7945921421051025,1.0971640348434448,0.0007474159356206656,0.006611442193388939
0,1,0.001,10,True,0.1,1.0,1.0,1.0,8,-inf,1.7221946716308594,1.0945481061935425,0.000727292790543288,0.006703886669129133
1,5,0.001,10,True,0.1,1.0,1.0,1.0,0,-inf,1.7967056035995483,1.0969903469085693,0.0007460792548954487,0.006591855548322201
0,1,0.001,10,True,0.1,1.0,1.0,1.0,9,-inf,1.7356687784194946,1.0926464796066284,0.0007126654381863773,0.006518061738461256
1,5,0.001,10,True,0.1,1.0,1.0,1.0,1,-inf,1.8179413080215454,1.0979303121566772,0.0007533101597800851,0.0065779960714280605
1,5,0.001,10,True,0.1,1.0,1.0,1.0,3,-inf,1.771964192390442,1.0960125923156738,0.0007385580101981759,0.006616515107452869
1,5,0.001,10,True,0.1,1.0,1.0,1.0,2,-inf,1.8282033205032349,1.0975364446640015,0.0007502803346142173,0.006514763925224543
1,5,0.001,10,True,0.1,1.0,1.0,1.0,4,-inf,1.883059024810791,1.101840853691101,0.0007833915296941996,0.006604114081710577
1,5,0.001,10,True,0.1,1.0,1.0,1.0,5,-inf,1.8183170557022095,1.0983264446258545,0.0007563568069599569,0.00660323491320014
1,5,0.001,10,True,0.1,1.0,1.0,1.0,6,-inf,1.7252833843231201,1.092056393623352,0.0007081257062964141,0.006515526678413153
1,5,0.001,10,True,0.1,1.0,1.0,1.0,8,-inf,1.7794386148452759,1.096117615699768,0.0007393661653622985,0.00659593241289258
1,5,0.001,10,True,0.1,1.0,1.0,1.0,7,-inf,1.7824735641479492,1.095746397972107,0.0007365108467638493,0.006559272762387991
1,5,0.001,10,True,0.1,1.0,1.0,1.0,9,-inf,1.7857215404510498,1.0944279432296753,0.000726368569303304,0.006457180250436068
2,10,0.001,10,True,0.1,1.0,1.0,1.0,0,-inf,1.9849128723144531,1.107146143913269,0.0008242007461376488,0.006591605022549629
2,10,0.001,10,True,0.1,1.0,1.0,1.0,1,-inf,1.9405518770217896,1.1036067008972168,0.0007969747530296445,0.0065195695497095585
2,10,0.001,10,True,0.1,1.0,1.0,1.0,2,-inf,2.007201671600342,1.1113699674606323,0.0008566917385905981,0.006775373127311468
2,10,0.001,10,True,0.1,1.0,1.0,1.0,3,-inf,1.9305087327957153,1.105932354927063,0.0008148641209118068,0.006700590252876282
2,10,0.001,10,True,0.1,1.0,1.0,1.0,4,-inf,1.9149328470230103,1.1033315658569336,0.0007948585553094745,0.006589249242097139
