seed,window_size,lam,networksize,learnrate,sharpe,cumret,meanret,stdret
2,10,1.0,64,0.001,0.644,1.068,0.001,0.013
2,20,0.1,64,0.001,0.491,1.051,0.0,0.013
2,15,1.0,64,0.001,1.983,1.165,0.001,0.01
2,20,0.001,64,0.001,0.416,1.048,0.0,0.014
2,10,0.1,64,0.001,0.336,1.029,0.0,0.01
2,15,10.0,64,0.001,0.308,1.028,0.0,0.011
2,10,10.0,64,0.001,1.145,1.142,0.001,0.015
2,60,0.001,64,0.001,2.884,1.188,0.001,0.008
2,60,1.0,64,0.001,1.132,1.14,0.001,0.015
2,60,0.1,64,0.001,2.644,1.172,0.001,0.008
2,60,10.0,64,0.001,1.187,1.148,0.001,0.015
2,40,0.001,64,0.001,2.066,1.166,0.001,0.01
2,40,0.1,64,0.001,1.231,1.116,0.001,0.011
2,40,1.0,64,0.001,1.346,1.142,0.001,0.013
2,40,10.0,64,0.001,1.147,1.142,0.001,0.015
2,20,10.0,64,0.001,1.145,1.142,0.001,0.015
2,20,1.0,64,0.001,0.795,1.085,0.001,0.013
3,2,0.001,64,0.001,-2.343,0.786,-0.002,0.011
3,2,0.1,64,0.001,-1.545,0.841,-0.001,0.013
3,2,1.0,64,0.001,0.752,1.091,0.001,0.015
3,1,0.001,64,0.001,7.561,1.671,0.005,0.011
3,2,10.0,64,0.001,0.025,1.002,0.0,0.009
3,1,0.1,64,0.001,4.57,1.457,0.004,0.012
3,1,1.0,64,0.001,-0.334,0.977,-0.0,0.009
3,1,10.0,64,0.001,1.374,1.136,0.001,0.012
3,3,0.001,64,0.001,-1.158,0.906,-0.001,0.01
3,3,0.1,64,0.001,0.919,1.054,0.0,0.007
3,4,0.1,64,0.001,-0.856,0.916,-0.001,0.012
3,4,0.001,64,0.001,-1.642,0.842,-0.001,0.012
3,3,10.0,64,0.001,1.273,1.158,0.001,0.015
3,3,1.0,64,0.001,-0.428,0.971,-0.0,0.008
3,5,0.001,64,0.001,1.325,1.11,0.001,0.01
3,4,1.0,64,0.001,1.032,1.126,0.001,0.015
3,4,10.0,64,0.001,1.67,1.089,0.001,0.007
3,5,0.1,64,0.001,-0.78,0.944,-0.0,0.009
3,5,1.0,64,0.001,-1.107,0.935,-0.001,0.007
3,5,10.0,64,0.001,-0.016,0.999,-0.0,0.009
3,10,1.0,64,0.001,-0.673,0.957,-0.0,0.008
3,15,0.001,64,0.001,0.636,1.036,0.0,0.007
3,10,0.1,64,0.001,-0.049,0.997,-0.0,0.008
3,10,0.001,64,0.001,-0.14,0.991,-0.0,0.008
3,15,0.1,64,0.001,0.773,1.044,0.0,0.007
3,10,10.0,64,0.001,-0.016,0.999,-0.0,0.009
3,15,1.0,64,0.001,1.059,1.06,0.0,0.007
3,15,10.0,64,0.001,-0.016,0.999,-0.0,0.009
3,20,0.001,64,0.001,0.116,1.008,0.0,0.008
3,20,0.1,64,0.001,0.092,1.006,0.0,0.008
3,60,0.001,64,0.001,2.244,1.179,0.001,0.01
3,60,0.1,64,0.001,2.698,1.181,0.001,0.008
3,60,1.0,64,0.001,1.145,1.142,0.001,0.015
3,40,0.1,64,0.001,0.776,1.065,0.0,0.01
3,40,0.001,64,0.001,1.022,1.098,0.001,0.012
3,40,10.0,64,0.001,-0.016,0.999,-0.0,0.009
3,40,1.0,64,0.001,1.358,1.1,0.001,0.009
3,60,10.0,64,0.001,0.308,1.028,0.0,0.011
3,20,1.0,64,0.001,0.188,1.012,0.0,0.007
3,20,10.0,64,0.001,-0.016,0.999,-0.0,0.009
4,2,0.1,64,0.001,1.176,1.08,0.001,0.008
4,2,0.001,64,0.001,0.838,1.06,0.0,0.009
4,2,1.0,64,0.001,1.145,1.142,0.001,0.015
4,2,10.0,64,0.001,0.0,1.0,0.0,0.009
4,1,0.001,64,0.001,7.237,1.652,0.005,0.011
4,1,1.0,64,0.001,2.098,1.164,0.001,0.01
4,1,10.0,64,0.001,0.766,1.065,0.001,0.01
4,1,0.1,64,0.001,7.236,1.648,0.005,0.011
4,3,0.001,64,0.001,-1.834,0.844,-0.001,0.01
4,3,0.1,64,0.001,1.503,1.085,0.001,0.007
4,3,1.0,64,0.001,-0.431,0.966,-0.0,0.01
4,3,10.0,64,0.001,1.145,1.142,0.001,0.015
4,5,0.001,64,0.001,-1.348,0.882,-0.001,0.011
4,4,0.001,64,0.001,1.137,1.089,0.001,0.01
4,4,0.1,64,0.001,-0.266,0.981,-0.0,0.009
4,5,0.1,64,0.001,-0.934,0.914,-0.001,0.011
4,4,1.0,64,0.001,-0.946,0.931,-0.001,0.009
4,4,10.0,64,0.001,-0.076,0.993,-0.0,0.01
4,5,1.0,64,0.001,-0.141,0.985,-0.0,0.013
4,5,10.0,64,0.001,1.738,1.093,0.001,0.007
4,10,0.001,64,0.001,0.437,1.039,0.0,0.011
4,15,0.001,64,0.001,0.217,1.017,0.0,0.01
4,10,0.1,64,0.001,0.089,1.006,0.0,0.008
4,10,1.0,64,0.001,-0.011,0.999,-0.0,0.008
4,10,10.0,64,0.001,0.308,1.028,0.0,0.011
4,15,10.0,64,0.001,-0.016,0.999,-0.0,0.009
4,15,1.0,64,0.001,1.644,1.155,0.001,0.012
4,15,0.1,64,0.001,0.659,1.051,0.0,0.009
4,20,0.001,64,0.001,0.282,1.031,0.0,0.013
4,20,0.1,64,0.001,0.288,1.028,0.0,0.012
4,60,0.001,64,0.001,2.291,1.169,0.001,0.009
4,60,1.0,64,0.001,1.145,1.142,0.001,0.015
4,60,0.1,64,0.001,2.508,1.183,0.001,0.009
4,40,0.1,64,0.001,0.719,1.058,0.0,0.01
4,40,0.001,64,0.001,0.682,1.058,0.0,0.01
4,40,10.0,64,0.001,0.309,1.028,0.0,0.011
4,40,1.0,64,0.001,1.376,1.101,0.001,0.009
4,60,10.0,64,0.001,1.383,1.075,0.001,0.007
4,20,1.0,64,0.001,1.273,1.136,0.001,0.013
4,20,10.0,64,0.001,0.308,1.028,0.0,0.011
5,2,0.001,64,0.001,0.771,1.091,0.001,0.014
5,2,0.1,64,0.001,-2.384,0.752,-0.002,0.013
5,2,1.0,64,0.001,0.401,1.036,0.0,0.011
5,1,0.1,64,0.001,3.349,1.31,0.002,0.011
5,1,0.001,64,0.001,2.989,1.28,0.002,0.011
5,1,10.0,64,0.001,0.015,1.001,0.0,0.009
5,1,1.0,64,0.001,3.79,1.343,0.003,0.011
5,2,10.0,64,0.001,0.607,1.07,0.001,0.014
5,3,0.001,64,0.001,1.145,1.073,0.001,0.008
5,3,0.1,64,0.001,0.908,1.053,0.0,0.007
5,3,1.0,64,0.001,0.056,1.004,0.0,0.009
5,3,10.0,64,0.001,1.598,1.164,0.001,0.013
5,4,0.001,64,0.001,1.766,1.103,0.001,0.007
5,4,0.1,64,0.001,2.666,1.145,0.001,0.007
5,5,0.001,64,0.001,-1.18,0.884,-0.001,0.012
5,4,10.0,64,0.001,-0.157,0.987,-0.0,0.01
5,4,1.0,64,0.001,-1.089,0.919,-0.001,0.009
5,5,0.1,64,0.001,-1.084,0.896,-0.001,0.012
5,5,1.0,64,0.001,1.774,1.16,0.001,0.011
5,5,10.0,64,0.001,1.549,1.159,0.001,0.013
5,10,0.1,64,0.001,0.6,1.051,0.0,0.01
5,15,0.1,64,0.001,0.467,1.036,0.0,0.009
5,10,0.001,64,0.001,0.575,1.06,0.0,0.013
5,10,1.0,64,0.001,0.641,1.066,0.001,0.013
5,10,10.0,64,0.001,1.549,1.159,0.001,0.013
5,15,0.001,64,0.001,0.542,1.042,0.0,0.009
5,20,0.001,64,0.001,0.385,1.044,0.0,0.014
5,15,1.0,64,0.001,1.655,1.151,0.001,0.011
5,15,10.0,64,0.001,1.065,1.133,0.001,0.015
5,20,0.1,64,0.001,-0.242,0.978,-0.0,0.011
5,60,0.001,64,0.001,2.775,1.174,0.001,0.008
5,60,0.1,64,0.001,2.351,1.182,0.001,0.009
5,60,1.0,64,0.001,1.194,1.142,0.001,0.015
5,40,1.0,64,0.001,1.417,1.101,0.001,0.009
5,40,0.1,64,0.001,1.477,1.124,0.001,0.01
5,40,0.001,64,0.001,1.199,1.11,0.001,0.011
5,60,10.0,64,0.001,1.145,1.142,0.001,0.015
5,40,10.0,64,0.001,-0.016,0.999,-0.0,0.009
5,20,10.0,64,0.001,1.549,1.159,0.001,0.013
5,20,1.0,64,0.001,1.145,1.142,0.001,0.015
6,2,0.1,64,0.001,0.866,1.087,0.001,0.012
6,2,0.001,64,0.001,-0.708,0.922,-0.001,0.013
6,1,0.001,64,0.001,5.316,1.517,0.004,0.012
6,2,1.0,64,0.001,2.002,1.248,0.002,0.015
6,1,0.1,64,0.001,4.759,1.468,0.004,0.012
6,2,10.0,64,0.001,1.257,1.156,0.001,0.015
6,1,1.0,64,0.001,2.689,1.283,0.002,0.013
6,1,10.0,64,0.001,-0.006,1.0,-0.0,0.008
6,3,0.001,64,0.001,1.17,1.087,0.001,0.009
6,3,0.1,64,0.001,1.347,1.091,0.001,0.008
6,4,0.001,64,0.001,-2.315,0.776,-0.002,0.012
6,5,0.1,64,0.001,-0.282,0.971,-0.0,0.012
6,3,10.0,64,0.001,1.708,1.091,0.001,0.007
6,5,0.001,64,0.001,-0.909,0.914,-0.001,0.012
6,3,1.0,64,0.001,0.576,1.068,0.001,0.014
6,4,0.1,64,0.001,-0.915,0.915,-0.001,0.011
6,4,1.0,64,0.001,-2.299,0.781,-0.002,0.012
6,4,10.0,64,0.001,0.151,1.011,0.0,0.009
6,5,1.0,64,0.001,-0.608,0.939,-0.0,0.012
6,5,10.0,64,0.001,1.065,1.133,0.001,0.015
6,15,0.001,64,0.001,0.945,1.072,0.001,0.009
6,15,0.1,64,0.001,1.366,1.118,0.001,0.011
6,10,0.001,64,0.001,-0.488,0.97,-0.0,0.007
6,10,0.1,64,0.001,0.335,1.024,0.0,0.009
6,10,1.0,64,0.001,1.659,1.156,0.001,0.011
6,10,10.0,64,0.001,1.065,1.133,0.001,0.015
6,20,0.001,64,0.001,0.44,1.045,0.0,0.013
6,15,1.0,64,0.001,2.084,1.169,0.001,0.01
6,20,0.1,64,0.001,0.531,1.054,0.0,0.012
6,15,10.0,64,0.001,1.065,1.133,0.001,0.015
6,60,0.001,64,0.001,2.895,1.195,0.001,0.008
6,60,1.0,64,0.001,1.145,1.142,0.001,0.015
6,60,0.1,64,0.001,3.115,1.219,0.002,0.009
6,40,0.001,64,0.001,1.461,1.142,0.001,0.012
6,40,0.1,64,0.001,1.205,1.103,0.001,0.01
6,40,1.0,64,0.001,1.262,1.115,0.001,0.011
6,60,10.0,64,0.001,1.355,1.137,0.001,0.012
6,40,10.0,64,0.001,1.065,1.133,0.001,0.015
6,20,1.0,64,0.001,2.044,1.197,0.002,0.012
6,20,10.0,64,0.001,1.065,1.133,0.001,0.015
7,2,0.001,64,0.001,-0.175,0.981,-0.0,0.013
7,1,0.001,64,0.001,3.025,1.28,0.002,0.011
7,2,0.1,64,0.001,-0.709,0.94,-0.0,0.01
7,2,1.0,64,0.001,1.598,1.2,0.002,0.015
7,1,0.1,64,0.001,1.511,1.181,0.001,0.015
7,1,10.0,64,0.001,-0.011,0.999,-0.0,0.008
7,2,10.0,64,0.001,1.549,1.159,0.001,0.013
7,1,1.0,64,0.001,-1.294,0.915,-0.001,0.008
7,3,0.001,64,0.001,1.446,1.096,0.001,0.008
7,3,0.1,64,0.001,2.218,1.127,0.001,0.007
7,3,1.0,64,0.001,-0.312,0.979,-0.0,0.008
7,4,0.001,64,0.001,-0.679,0.926,-0.001,0.013
7,3,10.0,64,0.001,1.576,1.161,0.001,0.012
7,5,0.1,64,0.001,0.08,1.006,0.0,0.009
7,5,0.001,64,0.001,-1.166,0.886,-0.001,0.012
7,4,10.0,64,0.001,1.157,1.144,0.001,0.015
7,4,1.0,64,0.001,1.576,1.153,0.001,0.012
7,4,0.1,64,0.001,-0.676,0.932,-0.001,0.012
7,5,1.0,64,0.001,2.364,1.209,0.002,0.011
7,5,10.0,64,0.001,1.549,1.159,0.001,0.013
7,10,0.001,64,0.001,0.204,1.018,0.0,0.011
7,10,1.0,64,0.001,1.012,1.062,0.0,0.007
7,15,0.001,64,0.001,0.774,1.067,0.001,0.011
7,15,1.0,64,0.001,-0.77,0.952,-0.0,0.008
7,15,0.1,64,0.001,0.873,1.062,0.0,0.009
7,10,0.1,64,0.001,-0.048,0.996,-0.0,0.01
7,10,10.0,64,0.001,1.549,1.159,0.001,0.013
7,20,0.001,64,0.001,0.232,1.022,0.0,0.012
7,15,10.0,64,0.001,-0.016,0.999,-0.0,0.009
7,20,0.1,64,0.001,0.563,1.056,0.0,0.012
7,60,0.001,64,0.001,1.147,1.142,0.001,0.015
7,60,0.1,64,0.001,1.149,1.142,0.001,0.015
7,60,1.0,64,0.001,1.145,1.142,0.001,0.015
7,40,0.1,64,0.001,1.352,1.093,0.001,0.008
7,40,1.0,64,0.001,1.423,1.117,0.001,0.01
7,40,10.0,64,0.001,1.145,1.142,0.001,0.015
7,60,10.0,64,0.001,-0.014,0.999,-0.0,0.009
7,40,0.001,64,0.001,1.514,1.111,0.001,0.009
7,20,1.0,64,0.001,1.237,1.131,0.001,0.013
7,20,10.0,64,0.001,-0.016,0.999,-0.0,0.009
8,2,0.001,64,0.001,1.022,1.07,0.001,0.008
8,2,0.1,64,0.001,0.103,1.008,0.0,0.01
8,2,1.0,64,0.001,-1.225,0.868,-0.001,0.013
8,1,0.1,64,0.001,4.112,1.261,0.002,0.008
8,2,10.0,64,0.001,0.443,1.05,0.0,0.014
8,1,0.001,64,0.001,2.889,1.179,0.001,0.008
8,1,10.0,64,0.001,1.129,1.115,0.001,0.012
8,1,1.0,64,0.001,2.647,1.283,0.002,0.013
8,3,0.001,64,0.001,1.662,1.188,0.001,0.014
8,3,0.1,64,0.001,2.079,1.123,0.001,0.007
8,5,0.001,64,0.001,-1.032,0.903,-0.001,0.011
8,3,1.0,64,0.001,-1.226,0.911,-0.001,0.009
8,4,0.001,64,0.001,0.075,1.005,0.0,0.008
8,3,10.0,64,0.001,1.694,1.09,0.001,0.007
8,4,0.1,64,0.001,0.974,1.119,0.001,0.015
8,4,1.0,64,0.001,0.305,1.034,0.0,0.014
8,5,0.1,64,0.001,-0.426,0.954,-0.0,0.013
8,4,10.0,64,0.001,1.145,1.142,0.001,0.015
8,5,10.0,64,0.001,-0.016,0.999,-0.0,0.009
8,5,1.0,64,0.001,-1.86,0.866,-0.001,0.009
8,10,0.001,64,0.001,0.347,1.033,0.0,0.012
8,10,0.1,64,0.001,0.569,1.055,0.0,0.012
8,15,0.001,64,0.001,1.085,1.068,0.001,0.008
